,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
30,0.15533,1024.3,66.477,2.9394,24.671,1076.2,548.33,135.72,11.824000000000002,3.8333,85.056
31,0.052441999999999996,1024.0,64.82300000000001,2.7916,23.298000000000002,1070.9,550.23,130.43,11.546,3.6518,86.895
32,-0.0821,1023.7,64.949,2.872,23.898000000000003,1075.4,550.21,133.77,11.737,3.7902,85.485
33,-0.51781,1023.3,69.28699999999999,2.867,23.691999999999997,1075.1,550.34,133.77,11.734000000000002,3.3021,85.34200000000001
34,-0.9986,1022.8,70.71,2.9023,23.462,1075.1,550.3,133.03,11.71,1.8773,84.164
35,-1.0841,1022.3,70.733,2.8280000000000003,22.604,1071.9,550.31,130.41,11.526,1.7751,83.696
36,-1.1782,1022.1,71.123,2.5283,19.552,1034.3,536.35,112.69,10.667,3.4947,110.99
37,-0.7610100000000001,1021.7,67.056,2.508,19.129,1052.0,549.65,114.36,10.613,4.819,91.87799999999999
38,0.087578,1021.7,65.819,2.6304,20.108,1056.6,549.4,118.3,10.877,4.5298,89.741
39,1.4518,1021.5,61.996,3.0252,25.074,1077.7,549.91,133.43,11.856,1.3132,83.181
40,2.4984,1021.4,63.047,4.1293,34.459,1099.8,527.35,168.09,14.409,0.47544,60.106
41,3.3266,1021.7,66.119,4.0339,33.461999999999996,1100.0,530.37,166.2,14.227,0.8760600000000001,61.945
42,4.2115,1021.5,61.488,4.0265,33.495,1100.0,530.83,165.35,14.152000000000001,2.7161,63.731
43,5.1391,1021.5,59.336999999999996,3.9638,32.723,1100.1,532.72,163.96,14.061,3.0923,64.865
44,5.0453,1021.6,57.228,4.0197,33.137,1100.0,531.09,165.03,14.126,3.0077,64.007
45,4.6618,1021.6,60.676,4.0345,33.256,1099.9,530.44,165.57,14.136,2.6836,61.714
46,4.4074,1021.9,60.946999999999996,4.0935,33.836,1100.0,528.77,166.83,14.263,2.7014,60.213
47,4.281000000000001,1021.9,60.558,4.0705,33.955,1099.9,529.29,166.51,14.219000000000001,2.6258,60.981
48,3.7958,1021.8,60.91,4.0723,33.994,1099.9,529.04,167.29,14.306,2.6703,61.507
49,3.3547,1021.6,62.1,4.0714,33.827,1099.9,529.08,167.18,14.293,2.6669,61.46
50,2.8923,1021.1,66.42399999999999,4.0722,33.914,1100.0,528.86,167.9,14.294,2.6077,61.358000000000004
51,2.0483,1021.1,71.357,4.1103,34.150999999999996,1099.9,527.93,168.68,14.372,2.6023,60.548
52,1.83,1020.5,73.273,3.5265,29.695999999999998,1087.6,538.34,151.67,13.083,3.6218,72.238
53,1.8904,1019.7,74.19800000000001,2.9362,25.038,1077.7,549.88,135.3,11.812000000000001,3.7212,81.98200000000001
54,1.9169999999999998,1018.8,74.153,2.6924,23.066999999999997,1058.9,547.08,123.17,11.130999999999998,6.1854,86.897
55,1.9133,1017.8,74.163,2.6152,21.753,1055.2,549.48,116.74,10.777999999999999,6.6370000000000005,101.12
56,1.7046,1017.3,75.115,2.5992,20.61,1053.4,550.29,114.28,10.687000000000001,5.4031,83.03399999999999
57,1.3545,1016.5,75.283,2.5712,20.164,1053.4,549.79,114.41,10.554,4.4993,81.069
58,0.9733700000000001,1015.4,76.16,2.5844,19.852999999999998,1053.2,549.65,114.35,10.624,4.8751,81.23100000000001
59,1.0745,1014.4,77.225,2.5986,19.954,1053.7,549.66,114.69,10.749,4.9219,82.15700000000001
60,1.5034,1013.5,76.696,2.5787,20.342,1054.0,549.66,114.77,10.747,5.0782,84.12
61,1.8859,1012.5,76.903,2.5678,20.180999999999997,1055.2,550.19,115.83,10.655999999999999,5.0031,83.635
62,4.7414,1011.4,85.32799999999999,2.6405,21.901,1052.4,549.63,113.76,10.519,4.8359,77.263
63,8.4217,1010.3,74.105,2.6344,22.02,1051.8,549.77,113.69,10.495,5.0404,76.80199999999999
64,9.716000000000001,1009.5,70.263,2.886,24.746,1064.6,549.71,123.08,11.222000000000001,4.1312,73.564
65,10.74,1008.8,68.654,3.1704,27.375,1079.5,549.77,134.06,11.809000000000001,2.9333,69.37899999999999
66,11.415,1007.9,66.92699999999999,3.1611,26.64,1078.3,549.86,133.05,11.874,3.3732,69.477
67,11.765999999999998,1007.1,67.464,3.13,26.476999999999997,1078.3,549.95,133.22,11.915999999999999,3.47,69.652
68,11.353,1006.9,72.516,3.0802,26.554000000000002,1076.3,550.04,131.77,11.838,3.5554,69.506
69,10.692,1006.9,78.953,3.1014,25.785999999999998,1077.9,550.13,133.23,11.747,3.5066,68.439
70,9.9885,1006.9,85.275,3.0723,24.405,1078.0,550.2,133.53,11.71,3.5051,68.718
71,9.2895,1007.2,84.281,3.0692,24.160999999999998,1077.8,550.26,133.78,11.75,3.468,68.869
72,8.3505,1008.0,80.518,2.943,23.741999999999997,1077.1,550.32,133.43,11.722999999999999,3.6109,71.454
73,7.5733,1009.0,71.839,2.9088,23.677,1076.0,550.17,132.51,11.76,3.5993,73.652
74,7.1961,1009.9,65.087,2.7265,22.156999999999996,1059.1,544.67,123.81,11.25,6.7175,95.788
75,6.2532,1011.3,66.84100000000001,2.5992,20.695,1058.3,550.3,119.29,10.942,4.5415,77.115
76,5.6855,1011.7,69.495,2.9821,23.819000000000003,1076.9,550.16,133.52,11.844000000000001,3.4706,75.806
77,5.5742,1011.9,67.438,2.7617,22.125999999999998,1063.0,547.48,125.04,11.311,5.2331,81.157
78,5.4146,1012.1,67.829,2.4292,19.099,1039.2,544.78,109.81,10.418,7.8197,87.056
79,4.913,1012.3,63.163999999999994,2.6541,21.101,1059.7,548.58,121.76,11.095999999999998,5.327999999999999,87.189
80,4.2385,1012.3,66.918,2.9730000000000003,23.695999999999998,1077.6,550.05,133.93,11.796,3.6275,77.797
81,3.6407,1012.2,67.55199999999999,3.2381,26.105999999999998,1084.6,545.87,142.24,12.350999999999999,3.4647,75.028
82,2.9389,1012.4,72.17,4.0072,33.012,1100.1,532.02,164.89,14.125,2.7787,61.716
83,3.8495,1012.7,68.282,3.9494,32.48,1099.9,533.8,163.33,13.98,2.5636,63.626999999999995
84,4.9438,1012.6,64.03699999999999,3.9315,32.645,1100.1,532.94,163.77,14.015,2.8564,64.093
85,5.5877,1012.4,61.391000000000005,3.8774,31.869,1099.9,535.61,161.72,13.857000000000001,2.6062,65.783
86,5.9879,1012.1,62.305,3.9754,32.876,1099.9,533.43,163.04,13.977,3.0445,63.861000000000004
87,6.3757,1011.7,59.324,3.8344,32.126,1098.4,536.59,159.27,13.714,3.1449,66.59
88,7.0174,1011.5,52.001999999999995,2.9854,26.928,1078.1,549.88,134.24,11.783,3.6935,76.425
89,7.388999999999999,1011.7,50.07,3.0378,27.808000000000003,1080.0,550.03,135.86,11.890999999999998,3.3989999999999996,75.146
90,6.6267,1012.2,53.331,2.9944,26.414,1077.4,550.11,134.04,11.707,4.0606,77.062
91,5.5087,1012.7,55.56100000000001,3.0092,24.334,1077.9,550.05,134.82,11.777999999999999,3.8777,77.47399999999999
92,4.5124,1012.8,54.963,2.9528,23.569000000000003,1078.0,550.07,135.01,11.748,3.4769,78.37100000000001
93,3.516,1012.5,56.067,2.9269,23.488000000000003,1077.4,550.24,134.79,11.706,3.4982,79.608
94,3.0703,1012.2,56.623999999999995,2.8886,23.229,1075.6,550.47,133.51,11.686,3.5572,80.176
95,2.6519,1011.5,60.79,2.8556,22.462,1071.6,550.42,130.61,11.588,3.6395,81.71
96,2.4406,1010.6,70.311,2.8438,22.815,1073.2,550.08,131.95,11.543,3.6706,80.28
97,2.3235,1010.1,68.905,2.8019,22.553,1071.5,550.05,130.58,11.53,3.7925,81.459
98,2.423,1009.3,65.865,2.4151,19.875999999999998,1039.8,542.87,112.71,10.508,8.8886,92.005
99,2.3053,1009.2,67.219,2.3944,18.847,1034.6,540.58,110.81,10.408,9.5457,90.895
100,1.8974,1009.1,78.196,2.3688,18.783,1033.3,540.37,110.0,10.231,9.8176,92.391
101,1.8232,1007.9,70.688,2.4262,18.629,1046.4,549.29,110.42,10.325,6.216,92.398
102,2.0207,1007.6,69.154,2.3872,18.038,1039.3,547.11,106.91,10.337,8.9255,119.68
103,2.0987,1007.8,67.308,2.4127,18.375999999999998,1045.4,549.52,109.57,10.352,6.7056,97.34700000000001
104,2.0555,1008.0,66.123,2.4296,18.602999999999998,1046.6,549.84,110.57,10.415999999999999,6.4282,93.426
105,1.8488,1008.4,65.453,3.6053,29.366999999999997,1086.4,536.74,150.97,13.128,4.0116,77.148
106,1.8404,1008.8,65.211,3.9715,33.054,1100.1,532.03,165.55,14.145999999999999,2.8588,64.153
107,2.1479,1009.0,63.952,4.007,33.468,1099.8,530.5,167.09,14.220999999999998,2.7916,64.562
108,2.8161,1009.2,59.68,3.9409,32.839,1100.0,532.45,165.62,14.084000000000001,2.741,65.623
109,3.4249,1009.4,54.908,3.9819,33.102,1100.0,531.82,165.63,14.12,2.7737,65.07300000000001
110,3.6133,1009.7,53.286,3.9276,32.717,1100.0,533.22,164.66,14.029000000000002,2.8627,65.905
111,3.6762,1010.2,50.595,3.9368,32.76,1099.8,532.97,164.7,14.052999999999999,2.8466,66.105
112,3.5235,1010.9,51.275,3.9472,32.597,1099.8,533.16,164.78,13.995999999999999,2.7573,65.393
113,2.077,1013.8,61.263000000000005,3.7562,34.128,1095.7,535.19,160.38,13.690999999999999,1.8823,67.76899999999999
114,1.7858,1014.2,62.448,2.3938,21.897,1023.4,532.8,108.94,10.485,14.022,103.86
115,1.5405,1015.0,64.41,2.3822,20.987,1023.4,532.94,108.96,10.489,13.835999999999999,104.95
116,1.2194,1015.8,64.414,2.3781,20.474,1023.8,533.03,109.0,10.514000000000001,13.932,106.59
117,0.71835,1016.4,65.821,2.5666,21.589000000000002,1048.4,541.82,120.19,11.008,9.4781,97.309
118,0.37115,1017.3,69.40100000000001,2.3863,19.884,1023.7,532.22,109.31,10.479000000000001,15.985999999999999,110.84
119,-0.48795,1018.9,70.67,2.3735,19.007,1034.7,540.45,110.1,10.398,11.289000000000001,116.03
120,-1.4042,1021.1,68.896,2.4012,18.991,1040.7,543.56,112.05,10.534,9.1157,106.53
121,-1.7088,1022.3,66.518,3.102,25.26,1083.6,547.21,142.16,12.296,4.1911,85.73299999999999
122,-2.2845,1023.4,65.756,3.3795,28.111,1099.8,547.09,155.12,13.069,2.8775,79.495
123,-3.0659,1024.4,62.778,3.7903,31.894000000000002,1099.8,534.48,164.78,13.885,2.8084,68.658
124,-3.3038,1025.4,59.547,3.5164,29.58,1100.2,542.49,159.23,13.375,2.8682,75.366
125,-3.2817,1026.4,56.04,3.3987,28.787,1099.8,544.99,157.71,13.209000000000001,3.2402,74.199
126,-3.2889999999999997,1027.1,51.788999999999994,3.3043,28.014,1100.0,547.95,155.48,13.083,3.4726,85.367
127,-3.3057,1027.4,45.667,3.3313,28.114,1100.0,547.35,155.81,13.095999999999998,3.0517,84.334
128,-3.0785,1028.0,44.637,3.4759,29.183000000000003,1100.0,543.53,158.6,13.357000000000001,2.6489999999999996,76.904
129,-3.0784,1028.6,44.247,3.6082,33.198,1100.1,538.48,162.4,13.635,2.1716,69.515
130,-3.2766,1029.3,47.798,4.0868,35.98,1099.9,524.67,172.55,14.630999999999998,2.7476,60.82899999999999
131,-3.6358,1030.2,49.327,4.0361,34.743,1099.9,525.95,172.01,14.548,2.5435,61.681000000000004
132,-4.0106,1031.0,53.13399999999999,4.1835,35.637,1099.9,521.7,175.01,14.752,1.5993,58.516999999999996
133,-4.3625,1031.8,55.276,4.1315,35.184,1100.0,523.18,174.34,14.73,1.5038,58.695
134,-4.7684,1032.2,55.068999999999996,4.1463,35.282,1100.1,522.67,174.88,14.705,1.8185,59.708
135,-5.0266,1032.5,55.086999999999996,4.1166,35.055,1100.0,523.12,174.63,14.75,2.4862,61.472
136,-4.938,1033.4,55.608999999999995,4.2813,36.573,1100.0,518.3,177.49,15.039000000000001,2.6486,59.26
137,-5.0675,1034.2,56.755,4.1073,34.732,1099.8,524.19,173.67,14.636,2.6749,62.076
138,-5.4155,1034.6,58.816,4.0521,34.179,1099.9,525.8,172.89,14.492,2.7617,63.743
139,-5.5667,1034.8,59.538999999999994,4.1451,35.162,1100.0,522.62,174.91,14.751,2.8223,62.32899999999999
140,-5.7711,1035.1,61.242,2.86,24.29,1079.1,550.39,137.78,11.936,3.7030000000000003,90.537
141,-5.5819,1035.5,57.123000000000005,2.8607,23.679000000000002,1060.6,538.1,133.95,11.77,7.7312,81.92200000000001
142,-5.7349,1035.6,57.403,2.5069,20.538,1024.9,527.72,115.31,10.777000000000001,13.798,80.947
143,-5.785,1035.3,59.661,2.6439,21.697,1060.5,545.29,127.98,11.388,6.7421,87.814
144,-5.82,1035.6,60.358000000000004,2.7682,22.479,1074.0,549.98,133.81,11.548,4.051,86.339
145,-5.9793,1035.7,62.049,2.8478,23.209,1078.9,549.6,137.51,11.788,3.1689,80.263
146,-6.2348,1035.8,63.961999999999996,4.2868,36.2,1099.7,519.5,176.91,14.899000000000001,2.2209,53.308
147,-5.8189,1036.3,64.9,4.2722,36.001999999999995,1100.0,519.89,176.71,14.911,1.4626,55.001000000000005
148,-4.9653,1036.4,63.518,4.2771,36.035,1100.0,519.76,176.25,14.945,1.3533,54.915
149,-3.9215,1036.4,61.696000000000005,4.2341,35.562,1100.0,521.58,174.64,14.822000000000001,1.5254,57.458999999999996
150,-3.0217,1036.3,57.92100000000001,4.2330000000000005,35.467,1099.9,522.06,173.94,14.762,3.1926,66.41
151,-2.2409,1035.7,54.373999999999995,4.2557,35.510999999999996,1100.1,522.11,173.47,14.724,4.0948,69.878
152,-1.4926,1035.3,52.331,4.2597,35.514,1100.0,522.48,172.91,14.758,3.2771,65.348
153,-1.0018,1035.4,50.034,4.2308,35.245,1100.0,523.35,172.16,14.64,2.6477,61.383
154,-1.051,1035.5,50.403,4.2712,35.582,1100.0,522.21,172.91,14.776,2.1929,59.288999999999994
155,-1.4086,1035.8,51.721000000000004,4.2906,35.677,1099.9,521.52,173.57,14.842,3.0832,61.519
156,-1.9402,1036.0,54.925,4.3121,35.893,1099.9,521.15,174.22,14.835999999999999,1.7114,57.336999999999996
157,-2.9167,1036.3,58.818000000000005,4.2604,35.635999999999996,1100.1,521.63,174.53,14.79,0.8025399999999999,56.37
158,-3.8160000000000003,1036.5,62.975,4.251,35.872,1100.1,521.02,175.33,14.823,1.9354,58.808
159,-4.5333,1036.6,66.798,4.2332,35.473,1100.0,522.27,174.82,14.79,1.8807,58.676
160,-4.9758,1036.5,70.657,4.2498,35.593,1099.9,521.44,175.41,14.802999999999999,1.5928,57.449
161,-5.1355,1036.3,73.405,4.2088,35.153,1099.9,522.88,174.42,14.748,1.6498,58.026
162,-5.0905,1036.2,75.107,4.2942,36.067,1099.9,520.0,176.35,14.9,1.6027,55.63399999999999
163,-4.8432,1035.8,73.335,4.2099,35.408,1100.0,522.62,174.46,14.742,1.2684,56.305
164,-4.8908,1035.2,72.08800000000001,4.1929,35.186,1100.1,522.87,174.39,14.737,2.0439,58.512
165,-4.9279,1034.9,71.525,4.1793,35.044000000000004,1100.0,523.31,174.2,14.728,2.3491,60.118
166,-5.4839,1034.5,72.581,4.2569,35.86,1100.0,520.94,176.09,14.838,2.1367,58.693000000000005
167,-5.8956,1034.1,70.851,4.3541,36.533,1100.0,518.3,177.88,15.083,1.9988,56.206
168,-5.9031,1034.0,68.12,4.3749,36.844,1100.0,517.61,178.31,15.042,1.435,54.794
169,-5.8847,1033.6,66.92,4.2815,36.218,1100.0,520.24,176.55,14.890999999999998,1.2721,56.123999999999995
170,-6.0421,1033.3,68.008,4.4238,37.505,1099.9,516.04,179.5,15.159,1.5776,55.571999999999996
171,-5.6218,1033.2,66.77199999999999,4.3915,37.105,1099.9,517.72,177.91,15.029000000000002,1.6697,56.386
172,-4.5664,1032.8,69.383,4.185,35.071999999999996,1100.1,524.55,173.05,14.626,1.4528,59.496
173,-2.0146,1032.1,68.559,4.1822,35.012,1099.9,526.15,170.26,14.497,1.7187,50.349
174,1.0693,1031.1,63.791000000000004,4.1693,34.575,1100.1,529.0,167.5,14.33,2.3791,60.097
175,2.8271,1029.6,53.567,4.3085,35.693000000000005,1100.0,527.83,167.69,14.421,2.1031,59.758
176,3.7325,1028.6,50.971000000000004,4.2251,36.532,1099.9,529.49,166.54,14.282,2.1982,60.203
177,4.0266,1028.2,48.494,4.2348,37.063,1100.0,529.15,166.33,14.315999999999999,2.9551,60.615
178,4.2803,1027.6,53.882,4.2062,36.333,1100.0,530.01,166.05,14.292,2.3445,59.512
179,4.6765,1026.8,54.923,4.2029,36.0,1100.0,530.67,165.51,14.139000000000001,2.39,60.615
180,5.2881,1026.1,54.493,4.2264,36.751999999999995,1099.8,529.83,165.72,14.205,2.7047,61.063
181,5.4779,1025.5,60.777,4.1873,36.77,1100.1,531.57,164.35,14.129000000000001,2.4764,61.086999999999996
182,5.8393,1024.5,63.843999999999994,4.2338,36.052,1099.9,530.56,164.86,14.189,2.5136,59.902
183,6.257000000000001,1023.7,64.78399999999999,4.144,35.566,1100.0,532.78,163.45,14.069,2.5022,60.792
184,6.537000000000001,1022.8,63.733000000000004,4.1902,36.003,1099.9,531.87,163.87,14.099,2.448,60.208999999999996
185,6.9811,1021.8,68.687,4.1737,36.152,1100.0,533.69,162.52,13.981,2.4257,59.891000000000005
186,7.4258,1020.5,69.422,4.0499,34.88,1095.0,535.02,157.53,13.635,2.7196,63.038000000000004
187,13.669,1011.0,67.811,3.6958,30.535,1078.9,535.37,141.74,12.748,10.392000000000001,107.52
188,13.642999999999999,1010.4,67.515,4.1368,32.658,1100.0,536.64,157.91,13.72,2.8087,64.44800000000001
189,13.618,1009.9,64.808,4.1059,32.342,1100.0,538.21,156.79,13.715,2.9922,65.402
190,13.527999999999999,1009.6,63.893,4.0697,32.655,1099.8,537.56,157.16,13.705,3.0789999999999997,64.745
191,13.488,1008.9,64.991,4.001,32.673,1100.0,539.37,155.94,13.642999999999999,3.1557,65.071
192,13.749,1008.4,64.892,4.0615,32.788000000000004,1100.0,538.88,156.0,13.626,3.1598,63.761
193,14.081,1008.2,62.75,3.9293,32.915,1100.0,541.28,154.08,13.481,2.4752,62.156000000000006
194,14.145999999999999,1008.0,64.817,3.7039999999999997,32.393,1099.9,546.41,150.69,13.120999999999999,2.4229,63.643
195,14.216,1008.1,65.938,3.325,29.68,1086.5,550.01,138.8,12.27,2.9083,65.609
196,14.38,1008.2,63.99100000000001,3.2246,27.738000000000003,1080.4,549.83,134.05,11.883,3.5637,65.074
197,14.61,1008.2,62.448,3.2889999999999997,27.655,1079.0,549.95,132.81,11.908,3.5939,65.259
198,15.011,1008.2,61.489,3.2334,27.99,1080.1,550.02,133.63,11.882,3.2819,64.079
199,14.64,1007.9,62.648999999999994,3.2322,27.131,1078.2,549.98,132.41,11.777999999999999,3.3437,65.043
200,14.512,1007.7,64.822,2.9854,25.468000000000004,1063.8,549.37,122.28,11.145,4.4783,68.596
201,13.599,1008.9,68.97399999999999,3.5532,29.798000000000002,1099.4,548.87,149.12,12.92,2.8175,65.709
202,8.2167,1010.8,74.124,3.6146,29.645,1098.7,544.02,154.29,13.185,3.5883,70.255
203,4.9518,1012.7,82.04899999999999,4.0049,33.078,1099.9,532.82,164.45,14.017000000000001,3.7464,62.831
204,3.9844,1014.0,84.932,4.0037,32.873000000000005,1100.1,533.35,164.25,14.046,3.1742,62.06399999999999
205,3.0685,1014.9,84.88600000000001,4.0566,32.779,1100.0,533.34,164.95,13.995999999999999,2.0356,62.21
206,2.0254,1015.6,87.684,4.0549,32.311,1100.0,534.58,164.44,13.904000000000002,2.2806,63.446999999999996
207,1.9239,1016.3,89.057,4.1119,31.925,1099.8,536.4,162.94,13.8,2.5639999999999996,64.00399999999999
208,2.2551,1017.5,89.44200000000001,4.0573,32.463,1100.1,536.31,162.83,13.796,2.1694,61.233999999999995
209,2.6769,1018.9,88.698,3.9741,32.565,1099.9,535.38,163.17,13.853,2.1199,60.315
210,2.8829,1019.7,87.928,3.9885,32.756,1099.9,534.44,163.77,13.86,2.51,60.231
211,2.915,1020.7,87.456,3.9472,32.336,1099.9,535.93,162.7,13.799000000000001,2.9081,61.026
212,2.9781,1021.7,87.99700000000001,3.9485,31.954,1100.0,535.99,162.53,13.87,2.845,59.918
213,3.2098,1022.0,87.48700000000001,3.9239,31.747,1100.1,536.37,162.11,13.794,2.9358,60.623000000000005
214,3.1939,1022.5,86.816,3.9322,31.673000000000002,1100.0,536.23,162.14,13.863,2.6836,60.873999999999995
215,3.4713,1022.8,84.147,3.9282,31.848000000000003,1099.9,535.74,162.28,13.892000000000001,2.5009,60.568000000000005
216,3.5602,1023.0,81.503,3.8397,31.031999999999996,1100.2,538.37,160.24,13.657,2.6187,63.809
217,3.5854,1023.2,81.898,3.8373,30.994,1100.0,538.08,160.4,13.674000000000001,2.8739999999999997,62.493
218,3.5704,1023.4,81.914,3.8801,31.463,1100.0,536.56,161.58,13.81,2.6981,60.565
219,3.3638,1023.9,83.167,3.9219999999999997,31.641,1100.0,535.67,162.29,13.880999999999998,2.6151,60.753
220,3.1503,1023.9,83.529,4.1566,33.811,1100.0,528.88,167.17,14.289000000000001,2.4873,58.952
221,3.0234,1024.0,83.219,4.1332,33.606,1100.2,529.58,166.98,14.295,2.1952,58.955
222,2.7264,1024.3,84.15899999999999,4.1965,34.111999999999995,1099.9,527.64,168.28,14.35,2.8435,58.908
223,2.4541,1024.6,84.67399999999999,4.1653,33.875,1100.1,528.34,168.06,14.272,1.9167,56.128
224,2.3137,1025.0,85.055,4.1288,33.732,1099.9,529.11,167.3,14.251,2.1122,56.958999999999996
225,2.1869,1025.2,84.883,4.2213,34.383,1100.1,526.94,169.04,14.42,2.7245,57.578
226,2.4683,1025.4,86.34299999999999,4.2027,34.071,1099.9,527.76,168.18,14.390999999999998,2.4158,57.833999999999996
227,3.3565,1025.5,85.619,4.1227,33.437,1100.0,530.06,166.25,14.225,2.5885,58.49
228,4.9344,1025.6,81.903,4.1364,33.694,1099.9,530.76,164.64,14.195,2.6888,58.278
229,7.1859,1025.2,64.90899999999999,4.0637,34.609,1100.0,533.4,161.82,13.994000000000002,2.8965,59.583999999999996
230,6.8154,1024.5,74.291,4.0928,34.425,1099.9,530.91,164.04,14.175999999999998,2.8996,58.156000000000006
231,7.3466,1024.0,73.298,4.0431,34.589,1100.0,532.48,162.64,14.038,2.9109,58.04
232,7.8561,1023.6,68.285,4.1412,35.841,1100.0,531.39,162.95,14.11,2.0223,56.757
233,7.8034,1023.9,66.234,4.138,36.915,1100.1,531.67,162.84,14.110999999999999,1.8942,56.793
234,7.5176,1024.1,69.557,4.1281,36.417,1099.9,531.71,163.06,14.134,2.4525,57.799
235,6.9636,1024.5,73.215,4.1337,35.988,1099.9,531.12,163.99,14.164000000000001,2.9286,57.982
236,6.5360000000000005,1024.7,76.167,4.1423,35.314,1100.0,530.36,164.53,14.19,2.8878,57.423
237,5.874,1024.5,76.926,4.1009,34.356,1100.0,530.95,165.05,14.165,2.8986,58.347
238,5.0083,1024.1,78.669,4.0794,33.88,1100.0,531.21,164.83,14.155,2.4608,58.36600000000001
239,4.7595,1023.8,75.057,4.087,33.783,1099.9,530.9,165.15,14.196,2.3463,58.494
240,3.8974,1023.4,77.365,4.1193,33.791,1100.0,529.95,166.36,14.276,2.3848,58.001999999999995
241,3.178,1022.9,80.053,4.1332,33.797,1099.9,529.26,167.06,14.302,2.7064,58.02
242,2.8912,1022.4,81.468,4.1212,33.504,1099.9,529.81,166.69,14.274000000000001,2.4947,57.89
243,2.7344,1022.0,82.568,4.1218,33.391,1099.9,530.3,166.42,14.184000000000001,2.7430000000000003,59.235
244,2.8423,1021.9,83.00200000000001,4.0818,33.184,1099.9,531.18,165.82,14.193,2.6743,59.808
245,2.9939999999999998,1021.5,82.6,4.1209,33.957,1099.9,529.53,166.85,14.27,2.7561,59.18
246,2.8463,1021.2,82.583,4.0796,33.569,1099.9,530.86,166.2,14.185,2.7072,60.385
247,2.4917,1020.9,83.486,4.1509,33.773,1099.9,529.49,167.29,14.245999999999999,2.5858,59.378
248,2.3804,1020.9,85.145,4.1256,33.439,1099.9,530.36,166.77,14.242,2.7423,59.793
249,2.6711,1020.9,85.376,4.1736,33.896,1100.0,529.4,166.98,14.196,2.7847,59.181999999999995
250,3.0559,1020.7,85.10799999999999,4.0921,33.515,1100.0,531.38,165.66,14.163,1.7481,58.29600000000001
