,Iy,PF,e,dIf,If
150,3.7,0.72,0.28,0.419,1.599
151,3.6,0.72,0.28,0.427,1.607
152,3.8,0.74,0.26,0.427,1.607
153,3.7,0.74,0.26,0.436,1.616
154,3.9,0.66,0.34,0.444,1.624
155,3.6,0.74,0.26,0.445,1.625
156,3.8,0.66,0.34,0.449,1.629
157,3.7,0.66,0.34,0.453,1.633
158,3.9,0.68,0.32,0.462,1.642
159,3.8,0.68,0.32,0.466,1.646
160,3.7,0.68,0.32,0.47,1.65
161,3.9,0.7,0.3,0.486,1.666
162,3.8,0.7,0.3,0.492,1.672
163,3.7,0.7,0.3,0.499,1.679
164,3.6,0.7,0.3,0.505,1.685
165,3.9,0.72,0.28,0.402,1.582
166,3.9,0.74,0.26,0.418,1.598
167,3.9,0.76,0.24,0.337,1.517
168,3.9,0.78,0.22,0.353,1.533
169,3.9,0.8,0.2,0.372,1.552
170,3.9,0.82,0.18,0.274,1.454
171,3.9,0.84,0.16,0.288,1.468
172,4.0,0.92,0.08,0.064,1.244
173,4.0,0.94,0.06,0.072,1.252
174,4.0,0.96,0.04,0.076,1.256
175,4.0,0.98,0.02,0.076,1.256
176,4.0,1.0,0.0,0.076,1.256
177,3.9,0.92,0.08,0.095,1.275
178,3.9,0.96,0.04,0.097,1.277
179,3.9,0.98,0.02,0.097,1.277
180,3.9,1.0,0.0,0.097,1.277
181,3.9,0.94,0.06,0.1,1.28
182,4.1,0.92,0.08,0.162,1.342
183,4.0,0.86,0.14,0.165,1.345
184,4.1,0.94,0.06,0.168,1.348
185,4.0,0.88,0.12,0.174,1.354
186,4.0,0.9,0.1,0.183,1.363
187,4.1,0.96,0.04,0.184,1.364
188,4.1,0.98,0.02,0.184,1.364
189,4.1,1.0,0.0,0.184,1.364
190,3.9,0.86,0.14,0.19,1.37
191,3.9,0.88,0.12,0.197,1.377
192,3.9,0.9,0.1,0.202,1.382
193,4.0,0.82,0.18,0.25,1.43
194,4.1,0.86,0.14,0.263,1.443
195,4.0,0.84,0.16,0.27,1.45
196,4.1,0.88,0.12,0.278,1.458
197,4.1,0.9,0.1,0.308,1.488
198,4.0,0.76,0.24,0.317,1.497
199,4.0,0.78,0.22,0.338,1.518
200,4.0,0.8,0.2,0.36,1.54
201,4.1,0.82,0.18,0.361,1.541
202,4.1,0.84,0.16,0.378,1.558
203,4.0,0.72,0.28,0.383,1.563
204,4.0,0.74,0.26,0.406,1.586
205,4.1,0.76,0.24,0.418,1.598
206,4.0,0.66,0.34,0.43,1.61
207,4.1,0.78,0.22,0.436,1.616
208,4.0,0.68,0.32,0.455,1.635
209,4.1,0.8,0.2,0.467,1.647
210,4.0,0.7,0.3,0.479,1.659
211,4.1,0.72,0.28,0.489,1.669
212,4.1,0.74,0.26,0.508,1.688
213,4.2,0.66,0.34,0.517,1.697
214,4.1,0.66,0.34,0.522,1.702
215,4.2,0.68,0.32,0.534,1.714
216,4.1,0.68,0.32,0.541,1.721
217,4.1,0.7,0.3,0.572,1.752
218,4.3,0.92,0.08,0.133,1.313
219,4.3,0.94,0.06,0.137,1.317
220,4.3,0.96,0.04,0.14,1.32
221,4.3,0.98,0.02,0.14,1.32
222,4.3,1.0,0.0,0.14,1.32
223,4.2,0.92,0.08,0.145,1.325
224,4.2,0.94,0.06,0.153,1.333
225,4.2,0.96,0.04,0.162,1.342
226,4.2,0.98,0.02,0.162,1.342
227,4.2,1.0,0.0,0.162,1.342
228,4.3,0.86,0.14,0.235,1.415
229,4.3,0.88,0.12,0.246,1.426
230,4.2,0.86,0.14,0.249,1.429
231,4.3,0.9,0.1,0.257,1.437
232,4.2,0.88,0.12,0.26,1.44
233,4.2,0.9,0.1,0.282,1.462
234,4.3,0.82,0.18,0.34,1.52
235,4.2,0.82,0.18,0.349,1.529
236,4.3,0.84,0.16,0.354,1.534
237,4.2,0.84,0.16,0.366,1.546
238,4.3,0.76,0.24,0.402,1.582
239,4.2,0.76,0.24,0.41,1.59
240,4.3,0.78,0.22,0.419,1.599
241,4.2,0.78,0.22,0.425,1.605
242,4.3,0.8,0.2,0.442,1.622
243,4.2,0.8,0.2,0.455,1.635
244,4.3,0.72,0.28,0.473,1.653
245,4.2,0.72,0.28,0.48,1.66
246,4.3,0.74,0.26,0.489,1.669
247,4.2,0.74,0.26,0.499,1.679
248,4.3,0.66,0.34,0.512,1.692
249,4.3,0.68,0.32,0.531,1.711
250,4.3,0.7,0.3,0.559,1.739
251,4.2,0.7,0.3,0.565,1.745
252,4.4,0.66,0.34,0.507,1.687
253,4.4,0.68,0.32,0.526,1.706
254,4.4,0.7,0.3,0.552,1.732
255,4.4,0.72,0.28,0.462,1.642
256,4.4,0.74,0.26,0.48,1.66
257,4.4,0.76,0.24,0.394,1.574
258,4.4,0.78,0.22,0.41,1.59
259,4.4,0.8,0.2,0.43,1.61
260,4.4,0.82,0.18,0.326,1.506
261,4.4,0.84,0.16,0.341,1.521
262,4.4,0.86,0.14,0.222,1.402
263,4.4,0.88,0.12,0.228,1.408
264,4.4,0.9,0.1,0.231,1.411
265,4.4,0.92,0.08,0.116,1.296
266,4.4,0.94,0.06,0.121,1.301
267,4.4,0.96,0.04,0.118,1.298
268,4.4,0.98,0.02,0.118,1.298
269,4.4,1.0,0.0,0.118,1.298
270,4.5,0.66,0.34,0.492,1.672
271,4.5,0.68,0.32,0.519,1.699
272,4.5,0.7,0.3,0.545,1.725
273,4.5,0.72,0.28,0.442,1.622
274,4.5,0.74,0.26,0.467,1.647
275,4.5,0.76,0.24,0.372,1.552
276,4.5,0.78,0.22,0.395,1.575
277,4.5,0.8,0.2,0.418,1.598
278,4.5,0.82,0.18,0.301,1.481
279,4.5,0.84,0.16,0.322,1.502
280,4.5,0.86,0.14,0.188,1.368
281,4.5,0.88,0.12,0.197,1.377
282,4.5,0.9,0.1,0.206,1.386
283,4.5,0.92,0.08,0.084,1.264
284,4.5,0.94,0.06,0.092,1.272
285,4.5,0.96,0.04,0.096,1.276
286,4.5,0.98,0.02,0.096,1.276
287,4.5,1.0,0.0,0.096,1.276
288,4.6,0.66,0.34,0.59,1.77
289,4.6,0.68,0.32,0.61,1.79
290,4.6,0.7,0.3,0.644,1.824
291,4.6,0.72,0.28,0.556,1.736
292,4.6,0.74,0.26,0.576,1.756
293,4.6,0.76,0.24,0.475,1.655
294,4.6,0.78,0.22,0.494,1.674
295,4.6,0.8,0.2,0.526,1.706
296,4.6,0.82,0.18,0.406,1.586
297,4.6,0.84,0.16,0.415,1.595
298,4.6,0.87,0.13,0.308,1.488
299,4.6,0.89,0.11,0.316,1.496
300,4.6,0.91,0.09,0.181,1.361
301,4.6,0.93,0.07,0.188,1.368
302,4.6,0.95,0.05,0.207,1.387
303,4.6,0.97,0.03,0.207,1.387
304,4.6,0.99,0.01,0.207,1.387
305,4.7,0.65,0.35,0.608,1.788
306,4.7,0.67,0.33,0.595,1.775
307,4.7,0.69,0.31,0.615,1.795
308,4.7,0.71,0.29,0.536,1.716
309,4.7,0.73,0.27,0.554,1.734
310,4.7,0.75,0.25,0.587,1.767
311,4.7,0.77,0.23,0.473,1.653
312,4.7,0.79,0.21,0.49,1.67
313,4.7,0.81,0.19,0.39,1.57
314,4.7,0.83,0.17,0.396,1.576
315,4.7,0.85,0.15,0.413,1.593
316,4.7,0.87,0.13,0.288,1.468
317,4.7,0.89,0.11,0.297,1.477
318,4.7,0.91,0.09,0.165,1.345
319,4.7,0.93,0.07,0.17,1.35
320,4.7,0.95,0.05,0.185,1.365
321,4.7,0.97,0.03,0.185,1.365
322,4.7,0.99,0.01,0.185,1.365
323,4.8,0.65,0.35,0.622,1.802
324,4.8,0.67,0.33,0.592,1.772
325,4.8,0.69,0.31,0.61,1.79
326,4.8,0.71,0.29,0.527,1.707
327,4.8,0.73,0.27,0.546,1.726
328,4.8,0.75,0.25,0.573,1.753
329,4.8,0.77,0.23,0.466,1.646
330,4.8,0.79,0.21,0.476,1.656
331,4.8,0.81,0.19,0.378,1.558
332,4.8,0.83,0.17,0.386,1.566
333,4.8,0.85,0.15,0.395,1.575
334,4.8,0.87,0.13,0.274,1.454
335,4.8,0.89,0.11,0.278,1.458
336,4.8,0.91,0.09,0.15,1.33
337,4.8,0.93,0.07,0.157,1.337
338,4.8,0.95,0.05,0.162,1.342
339,4.8,0.97,0.03,0.162,1.342
340,4.8,0.99,0.01,0.162,1.342
341,4.9,0.65,0.35,0.637,1.817
342,4.9,0.67,0.33,0.585,1.765
343,4.9,0.69,0.31,0.605,1.785
344,4.9,0.71,0.29,0.517,1.697
345,4.9,0.73,0.27,0.536,1.716
346,4.9,0.75,0.25,0.559,1.739
347,4.9,0.77,0.23,0.453,1.633
348,4.9,0.79,0.21,0.462,1.642
349,4.9,0.81,0.19,0.365,1.545
350,4.9,0.83,0.17,0.373,1.553
351,4.9,0.85,0.15,0.378,1.558
352,4.9,0.87,0.13,0.253,1.433
353,4.9,0.89,0.11,0.26,1.44
354,4.9,0.91,0.09,0.134,1.314
355,4.9,0.93,0.07,0.14,1.32
356,4.9,0.95,0.05,0.14,1.32
357,4.9,0.97,0.03,0.14,1.32
358,4.9,0.99,0.01,0.14,1.32
359,5.0,0.65,0.35,0.651,1.831
360,5.0,0.67,0.33,0.573,1.753
361,5.0,0.69,0.31,0.601,1.781
362,5.0,0.71,0.29,0.492,1.672
363,5.0,0.73,0.27,0.519,1.699
364,5.0,0.75,0.25,0.545,1.725
365,5.0,0.77,0.23,0.43,1.61
366,5.0,0.79,0.21,0.442,1.622
367,5.0,0.81,0.19,0.338,1.518
368,5.0,0.83,0.17,0.349,1.529
369,5.0,0.85,0.15,0.36,1.54
370,5.0,0.87,0.13,0.216,1.396
371,5.0,0.89,0.11,0.225,1.405
372,5.0,0.91,0.09,0.1,1.28
373,5.0,0.93,0.07,0.109,1.289
374,5.0,0.95,0.05,0.117,1.297
375,5.0,0.97,0.03,0.117,1.297
376,5.0,0.99,0.01,0.117,1.297
377,5.1,0.65,0.35,0.666,1.846
378,5.1,0.67,0.33,0.668,1.848
379,5.1,0.69,0.31,0.69,1.87
380,5.1,0.71,0.29,0.605,1.785
381,5.1,0.73,0.27,0.615,1.795
382,5.1,0.75,0.25,0.637,1.817
383,5.1,0.77,0.23,0.536,1.716
384,5.1,0.79,0.21,0.546,1.726
385,5.1,0.81,0.19,0.436,1.616
386,5.1,0.83,0.17,0.454,1.634
387,5.1,0.85,0.15,0.487,1.667
388,5.1,0.87,0.13,0.338,1.518
389,5.1,0.89,0.11,0.347,1.527
390,5.1,0.91,0.09,0.208,1.388
391,5.1,0.93,0.07,0.222,1.402
392,5.1,0.95,0.05,0.252,1.432
393,5.1,0.97,0.03,0.252,1.432
394,5.1,0.99,0.01,0.252,1.432
395,5.2,0.65,0.35,0.682,1.862
396,5.2,0.67,0.33,0.66,1.84
397,5.2,0.69,0.31,0.679,1.859
398,5.2,0.71,0.29,0.595,1.775
399,5.2,0.73,0.27,0.603,1.783
400,5.2,0.75,0.25,0.622,1.802
401,5.2,0.77,0.23,0.524,1.704
402,5.2,0.79,0.21,0.536,1.716
403,5.2,0.81,0.19,0.424,1.604
404,5.2,0.83,0.17,0.437,1.617
405,5.2,0.85,0.15,0.463,1.643
406,5.2,0.87,0.13,0.32,1.5
407,5.2,0.89,0.11,0.331,1.511
408,5.2,0.91,0.09,0.192,1.372
409,5.2,0.93,0.07,0.201,1.381
410,5.2,0.95,0.05,0.223,1.403
411,5.2,0.97,0.03,0.223,1.403
412,5.2,0.99,0.01,0.223,1.403
413,5.3,0.65,0.35,0.697,1.877
414,5.3,0.67,0.33,0.656,1.836
415,5.3,0.69,0.31,0.668,1.848
416,5.3,0.71,0.29,0.585,1.765
417,5.3,0.73,0.27,0.595,1.775
418,5.3,0.75,0.25,0.608,1.788
419,5.3,0.77,0.23,0.513,1.693
420,5.3,0.79,0.21,0.527,1.707
421,5.3,0.81,0.19,0.411,1.591
422,5.3,0.83,0.17,0.423,1.603
423,5.3,0.85,0.15,0.438,1.618
424,5.3,0.87,0.13,0.305,1.485
425,5.3,0.89,0.11,0.315,1.495
426,5.3,0.91,0.09,0.176,1.356
427,5.3,0.93,0.07,0.185,1.365
428,5.3,0.95,0.05,0.195,1.375
429,5.3,0.97,0.03,0.195,1.375
430,5.3,0.99,0.01,0.195,1.375
431,5.4,0.65,0.35,0.713,1.893
432,5.4,0.67,0.33,0.647,1.827
433,5.4,0.69,0.31,0.657,1.837
434,5.4,0.71,0.29,0.575,1.755
435,5.4,0.73,0.27,0.585,1.765
436,5.4,0.75,0.25,0.593,1.773
437,5.4,0.77,0.23,0.499,1.679
438,5.4,0.79,0.21,0.517,1.697
439,5.4,0.81,0.19,0.398,1.578
440,5.4,0.83,0.17,0.407,1.587
441,5.4,0.85,0.15,0.414,1.594
442,5.4,0.87,0.13,0.286,1.466
443,5.4,0.89,0.11,0.3,1.48
444,5.4,0.91,0.09,0.159,1.339
445,5.4,0.93,0.07,0.165,1.345
446,5.4,0.95,0.05,0.166,1.346
447,5.4,0.97,0.03,0.166,1.346
448,5.4,0.99,0.01,0.166,1.346
449,5.5,0.65,0.35,0.728,1.908
450,5.5,0.67,0.33,0.629,1.809
451,5.5,0.69,0.31,0.644,1.824
452,5.5,0.71,0.29,0.552,1.732
453,5.5,0.73,0.27,0.565,1.745
454,5.5,0.75,0.25,0.579,1.759
455,5.5,0.77,0.23,0.474,1.654
456,5.5,0.79,0.21,0.499,1.679
457,5.5,0.81,0.19,0.366,1.546
458,5.5,0.83,0.17,0.377,1.557
459,5.5,0.85,0.15,0.389,1.569
460,5.5,0.87,0.13,0.25,1.43
461,5.5,0.89,0.11,0.27,1.45
462,5.5,0.91,0.09,0.121,1.301
463,5.5,0.93,0.07,0.13,1.31
464,5.5,0.95,0.05,0.138,1.318
465,5.5,0.97,0.03,0.138,1.318
466,5.5,0.99,0.01,0.138,1.318
467,5.6,0.65,0.35,0.736,1.916
468,5.6,0.67,0.33,0.729,1.909
469,5.6,0.69,0.31,0.74,1.92
470,5.6,0.71,0.29,0.652,1.832
471,5.6,0.73,0.27,0.674,1.854
472,5.6,0.75,0.25,0.713,1.893
473,5.6,0.77,0.23,0.585,1.765
474,5.6,0.79,0.21,0.606,1.786
475,5.6,0.81,0.19,0.49,1.67
476,5.6,0.83,0.17,0.499,1.679
477,5.6,0.85,0.15,0.526,1.706
478,5.6,0.87,0.13,0.378,1.558
479,5.6,0.89,0.11,0.395,1.575
480,5.6,0.91,0.09,0.246,1.426
481,5.6,0.93,0.07,0.254,1.434
482,5.6,0.95,0.05,0.277,1.457
483,5.6,0.97,0.03,0.277,1.457
484,5.6,0.99,0.01,0.277,1.457
485,5.7,0.65,0.35,0.744,1.924
486,5.7,0.67,0.33,0.72,1.9
487,5.7,0.69,0.31,0.735,1.915
488,5.7,0.71,0.29,0.641,1.821
489,5.7,0.73,0.27,0.661,1.841
490,5.7,0.75,0.25,0.697,1.877
491,5.7,0.77,0.23,0.573,1.753
492,5.7,0.79,0.21,0.591,1.771
493,5.7,0.81,0.19,0.472,1.652
494,5.7,0.83,0.17,0.481,1.661
495,5.7,0.85,0.15,0.506,1.686
496,5.7,0.87,0.13,0.359,1.539
497,5.7,0.89,0.11,0.375,1.555
498,5.7,0.91,0.09,0.226,1.406
499,5.7,0.93,0.07,0.23,1.41
500,5.7,0.95,0.05,0.248,1.428
501,5.7,0.97,0.03,0.248,1.428
502,5.7,0.99,0.01,0.248,1.428
503,5.8,0.65,0.35,0.753,1.933
504,5.8,0.67,0.33,0.711,1.891
505,5.8,0.69,0.31,0.729,1.909
506,5.8,0.71,0.29,0.631,1.811
507,5.8,0.73,0.27,0.652,1.832
508,5.8,0.75,0.25,0.682,1.862
509,5.8,0.77,0.23,0.565,1.745
510,5.8,0.79,0.21,0.575,1.755
511,5.8,0.81,0.19,0.455,1.635
512,5.8,0.83,0.17,0.471,1.651
513,5.8,0.85,0.15,0.487,1.667
514,5.8,0.87,0.13,0.347,1.527
515,5.8,0.89,0.11,0.355,1.535
516,5.8,0.91,0.09,0.206,1.386
517,5.8,0.93,0.07,0.214,1.394
518,5.8,0.95,0.05,0.218,1.398
519,5.8,0.97,0.03,0.218,1.398
520,5.8,0.99,0.01,0.218,1.398
521,5.9,0.65,0.35,0.761,1.941
522,5.9,0.67,0.33,0.701,1.881
523,5.9,0.69,0.31,0.723,1.903
524,5.9,0.71,0.29,0.621,1.801
525,5.9,0.73,0.27,0.641,1.821
526,5.9,0.75,0.25,0.666,1.846
527,5.9,0.77,0.23,0.551,1.731
528,5.9,0.79,0.21,0.56,1.74
529,5.9,0.81,0.19,0.437,1.617
530,5.9,0.83,0.17,0.454,1.634
531,5.9,0.85,0.15,0.467,1.647
532,5.9,0.87,0.13,0.327,1.507
533,5.9,0.89,0.11,0.334,1.514
534,5.9,0.91,0.09,0.185,1.365
535,5.9,0.93,0.07,0.192,1.372
536,5.9,0.95,0.05,0.189,1.369
537,5.9,0.97,0.03,0.189,1.369
538,5.9,0.99,0.01,0.189,1.369
539,6.0,0.65,0.35,0.769,1.949
540,6.0,0.67,0.33,0.682,1.862
541,6.0,0.69,0.31,0.713,1.893
542,6.0,0.71,0.29,0.593,1.773
543,6.0,0.73,0.27,0.622,1.802
544,6.0,0.75,0.25,0.651,1.831
545,6.0,0.77,0.23,0.525,1.705
546,6.0,0.79,0.21,0.538,1.718
547,6.0,0.81,0.19,0.401,1.581
548,6.0,0.83,0.17,0.424,1.604
549,6.0,0.85,0.15,0.448,1.628
550,6.0,0.87,0.13,0.29,1.47
551,6.0,0.89,0.11,0.301,1.481
552,6.0,0.91,0.09,0.142,1.322
553,6.0,0.93,0.07,0.151,1.331
554,6.0,0.95,0.05,0.16,1.34
555,6.0,0.97,0.03,0.16,1.34
556,6.0,0.99,0.01,0.16,1.34
