,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
195,2,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12
196,0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
197,2,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
198,2,0.56,0.45,0.16,0.922,0.43200000000000005,0.17800000000000002,0.26,15
199,2,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
200,0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
201,2,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
202,0,0.5,0.4,0.145,0.63,0.23399999999999999,0.1465,0.23,12
203,0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
204,2,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
205,0,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16,9
206,1,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
207,1,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
208,0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
209,1,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7
210,0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
211,2,0.335,0.25,0.09,0.18100000000000002,0.0755,0.0415,0.06,7
212,0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
213,2,0.5,0.405,0.14,0.6155,0.24100000000000002,0.1355,0.205,9
214,0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
215,2,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
216,2,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
217,1,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
218,2,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
219,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
220,0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
221,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
222,0,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19,9
223,0,0.445,0.355,0.15,0.485,0.18100000000000002,0.125,0.155,11
224,1,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
225,0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
226,0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,7
227,1,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
228,0,0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35,11
229,0,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15
230,2,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
231,2,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
232,2,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
233,1,0.275,0.215,0.075,0.1155,0.0485,0.028999999999999998,0.035,7
234,1,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
235,1,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
236,1,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
237,1,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,3
238,1,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
239,1,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
240,2,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
241,1,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
242,1,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02,5
243,1,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
244,1,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
245,1,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
246,1,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
247,1,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
248,1,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
249,1,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07,7
250,1,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
251,2,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
252,0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
253,0,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
254,2,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15
255,2,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
256,2,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
257,2,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
258,0,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
259,0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
260,0,0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26,11
261,0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
262,2,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
263,1,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002,4
264,2,0.27,0.2,0.08,0.1205,0.0465,0.027999999999999997,0.04,6
265,0,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
266,2,0.52,0.45,0.15,0.895,0.3615,0.18600000000000003,0.235,14
267,2,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
268,2,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
269,0,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
270,0,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,22
271,2,0.59,0.5,0.2,1.187,0.41200000000000003,0.2705,0.37,16
272,2,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
273,2,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
274,2,0.63,0.515,0.155,1.2590000000000001,0.4105,0.19699999999999998,0.41,13
275,2,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
276,0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
277,2,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
278,2,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
279,0,0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,11
280,0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
281,1,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
282,0,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15,9
283,2,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
284,2,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14
285,0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10
286,2,0.53,0.435,0.155,0.6990000000000001,0.28800000000000003,0.1595,0.205,10
287,0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
288,2,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
289,0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
290,2,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
291,0,0.565,0.505,0.21,1.2765,0.501,0.27899999999999997,0.355,12
292,2,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315,15
293,0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
294,2,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
295,1,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6
296,1,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
297,1,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
298,2,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11
299,2,0.37,0.28,0.105,0.23399999999999999,0.0905,0.0585,0.075,9
300,0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
301,0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
302,2,0.37,0.28,0.1,0.252,0.1065,0.0595,0.07400000000000001,8
303,2,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
304,0,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,10
305,1,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,4
306,1,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,3
307,2,0.645,0.515,0.24,1.5415,0.47100000000000003,0.369,0.535,13
308,2,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
309,2,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
310,0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
311,2,0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265,14
312,2,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
313,0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
314,2,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
315,1,0.45,0.355,0.11,0.4585,0.19399999999999998,0.067,0.14,8
316,0,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,14
317,2,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
318,0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
319,1,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
320,1,0.265,0.21,0.06,0.0965,0.0425,0.022000000000000002,0.03,5
321,1,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
322,2,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11
323,1,0.265,0.205,0.07,0.1055,0.039,0.040999999999999995,0.035,5
324,2,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075,7
325,1,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,7
326,1,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
327,2,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
328,2,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095,8
329,1,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8
330,2,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
331,0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
332,1,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
333,1,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
334,0,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
335,2,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11
336,2,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325,14
337,2,0.59,0.45,0.185,1.2830000000000001,0.473,0.276,0.425,16
338,2,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
339,0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
340,2,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
341,0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14
342,2,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
343,0,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
344,0,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
345,2,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13
346,0,0.525,0.42,0.16,0.7559999999999999,0.2745,0.17300000000000001,0.275,9
347,1,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
348,1,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8
349,2,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
350,0,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8
351,0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
352,2,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
353,2,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
354,2,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34,16
355,2,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
356,2,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
357,0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
358,2,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7,17
359,0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
360,2,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
361,0,0.59,0.465,0.15,0.997,0.392,0.24600000000000002,0.34,12
362,0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
363,0,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,16
364,0,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
365,2,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
366,2,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
367,0,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
368,2,0.63,0.49,0.18,1.13,0.45799999999999996,0.2765,0.315,12
369,0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
370,0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415,16
371,0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5,16
372,0,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,19
373,0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14
