,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
34,2,1,8,6,5,1.02119,0.63779,0.8830899999999999,-2.90161,-0.78155,0.52975,1.92173,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1
35,5,1,4,5,6,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.5485799999999998,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
36,2,1,8,5,6,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
37,4,1,4,6,6,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0
38,3,1,8,5,6,-1.5507799999999998,1.2861,0.29338000000000003,-0.01729,0.7583,-0.21712,-0.8463700000000001,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0
39,5,0,6,5,6,-0.24649,-0.94779,-1.11902,-0.7609600000000001,0.41594,-1.37983,-0.21575,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0
40,2,1,5,5,6,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987000000000001,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
41,2,0,8,5,6,0.82562,0.0033200000000000005,1.06238,1.81866,-0.40581,-0.21712,-0.21575,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0
42,2,1,5,5,6,-0.14882,-0.94779,-1.2755299999999998,-0.01729,-0.65253,-0.21712,-0.52593,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0
43,2,1,6,5,6,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0
44,1,1,8,5,5,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987000000000001,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
45,1,0,8,5,6,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
46,3,0,7,1,6,0.31287,0.63779,-1.11902,0.28783000000000003,1.46191,-0.71126,-0.8463700000000001,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1
47,3,1,5,5,6,-2.05048,0.80523,0.29338000000000003,0.94156,1.13407,-2.55524,-1.18084,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
48,3,1,1,5,6,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.8463700000000001,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0
49,1,0,5,5,4,0.82562,-0.57545,-1.97495,-0.91699,0.25953000000000004,0.52975,1.2247,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0
50,2,1,5,5,6,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.8463700000000001,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0
51,3,1,6,1,6,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0
52,4,0,8,5,6,-0.14882,0.0033200000000000005,-1.42424,0.28783000000000003,-0.78155,0.52975,-1.5485799999999998,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
53,3,1,5,5,6,-1.43907,-0.15487,1.06238,0.28783000000000003,0.25953000000000004,-0.21712,-0.21575,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0
54,4,1,1,5,6,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0
55,4,0,6,5,6,0.04257,-0.69509,-1.11902,-0.4532100000000001,-0.40581,-1.37983,-2.07848,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
56,2,0,7,5,6,0.04257,0.0033200000000000005,-1.68062,-0.01729,0.25953000000000004,-1.37983,-1.5485799999999998,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,8,5,6,-0.58016,0.63779,-1.97495,0.28783000000000003,0.7583,-0.71126,-0.52593,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
58,3,1,3,5,6,0.22393,0.63779,-0.01928,-0.4532100000000001,-0.40581,1.86203,1.2247,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1
59,3,1,8,5,6,-0.46725,-1.23177,-1.2755299999999998,-1.6209,-0.14277,-1.37983,-1.5485799999999998,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,0,5,6,1.37297,0.32197,0.29338000000000003,-0.30172,-0.27607,-1.37983,0.07987000000000001,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
61,3,1,5,5,0,-2.21844,1.58487,1.24033,0.13136,1.3061200000000002,-1.37983,-1.18084,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1
62,1,1,8,5,6,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0
63,3,1,8,5,6,1.02119,-0.30033000000000004,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
64,3,1,0,5,6,-1.5507799999999998,0.47617,1.06238,-0.4532100000000001,0.93949,-1.37983,-0.52593,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0
65,2,1,7,5,6,0.73545,0.47617,-0.8473200000000001,1.11406,0.5848899999999999,0.52975,-0.21575,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
66,3,1,1,5,6,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
67,1,1,5,5,6,-0.34799,-0.30033000000000004,1.06238,-0.91699,-0.14277,0.88113,-0.21575,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0
68,2,1,6,4,6,-0.92104,0.0033200000000000005,0.29338000000000003,-0.15487,-0.27607,-0.21712,0.07987000000000001,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0
69,3,0,1,5,6,-0.05188,-0.69509,-1.68062,0.28783000000000003,-0.00665,-1.37983,-0.8463700000000001,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0
70,1,1,7,5,6,-0.34799,-0.30033000000000004,0.14143,-1.92595,-0.27607,0.52975,0.7654,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1
71,3,0,3,1,6,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.8463700000000001,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
72,3,1,3,5,6,-1.5507799999999998,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
73,3,1,6,5,6,-0.67825,-0.57545,-0.31776,0.28783000000000003,1.13407,-0.71126,-0.21575,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
74,5,0,1,5,6,-1.1943,-1.7625,-2.8595,-1.47955,0.25953000000000004,0.52975,-2.07848,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
75,1,1,8,5,6,-0.14882,0.16767,-1.55521,-0.7609600000000001,-0.40581,0.52975,-0.21575,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
76,3,0,2,1,6,-0.34799,-0.69509,-1.55521,0.43852,0.5848899999999999,-2.55524,-2.07848,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
77,2,1,8,5,6,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0
78,2,1,7,5,6,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1
79,2,1,6,5,6,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
80,5,0,0,1,6,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0
81,4,0,8,5,6,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0
82,4,1,5,1,6,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
83,4,0,2,5,4,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
84,3,1,1,5,6,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987000000000001,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,3,5,6,-0.46725,0.0033200000000000005,-1.55521,0.13136,0.41594,0.52975,1.2247,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
86,2,1,7,5,6,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
87,4,1,1,5,6,-0.92104,0.16767,-0.45174,-0.30172,0.25953000000000004,-0.71126,0.40148,5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
88,2,0,7,5,6,0.31287,-1.92173,-1.42424,-0.7609600000000001,-0.52745,-1.37983,-2.07848,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0
89,2,0,5,5,6,0.91093,-0.57545,0.29338000000000003,-0.60633,-0.27607,0.52975,-0.21575,5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1
90,2,0,5,5,6,1.37297,0.32197,0.7233,0.28783000000000003,-0.78155,-1.37983,0.07987000000000001,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0
91,2,1,6,1,6,0.41667,-0.43999,0.7233,0.28783000000000003,0.7583,0.88113,0.7654,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0
92,1,1,3,5,6,-1.5507799999999998,-0.30033000000000004,-0.45174,0.28783000000000003,-0.00665,-0.71126,-0.8463700000000001,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
93,5,0,1,5,6,-0.14882,-0.80615,-0.97631,0.7609600000000001,0.41594,-1.37983,-1.5485799999999998,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
94,3,1,5,5,6,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0
95,3,1,5,5,6,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0
96,2,0,8,1,6,0.13606,-1.09207,0.29338000000000003,-0.15487,0.7583,-1.37983,-1.5485799999999998,4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0
97,3,0,5,5,6,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.8463700000000001,5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0
98,2,1,0,1,6,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0
99,1,0,8,5,6,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0
100,1,1,5,4,6,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0
101,3,0,1,0,6,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.8463700000000001,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
102,3,1,3,5,6,-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0
103,3,0,6,1,6,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,7,1,6,-0.92104,0.16767,-0.17779,1.11406,0.5848899999999999,-0.71126,0.07987000000000001,5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0
105,2,1,6,5,6,-2.21844,0.47617,-1.82919,-0.7609600000000001,2.04506,-1.37983,-1.5485799999999998,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,7,5,6,1.02119,-0.30033000000000004,-1.82919,0.28783000000000003,-0.40581,-1.37983,-0.8463700000000001,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
107,2,0,1,5,6,0.13606,0.0033200000000000005,-1.2755299999999998,-0.7609600000000001,0.5848899999999999,0.52975,-0.21575,5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0
108,1,0,8,5,6,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0
109,3,0,7,5,6,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987000000000001,5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0
110,3,1,5,5,0,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
111,1,1,5,5,6,0.31287,-1.09207,-0.8473200000000001,-0.60633,-0.65253,0.19268,0.40148,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0
112,1,0,8,5,6,-1.1943,0.32197,0.8830899999999999,-1.21213,-0.78155,-0.21712,-0.21575,3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0
113,3,0,6,5,6,0.04257,0.63779,0.29338000000000003,0.13136,0.7583,0.19268,-0.21575,4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0
114,2,1,7,5,6,-2.3436,1.93886,1.43533,-0.7609600000000001,-1.38502,1.86203,1.2247,4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0
115,1,0,6,1,6,0.22393,-0.57545,-0.8473200000000001,0.28783000000000003,1.13407,-1.37983,-2.07848,5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0
116,2,1,6,1,6,0.62967,-0.57545,0.14143,-1.7719999999999998,-0.40581,0.52975,-0.21575,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0
117,1,0,8,5,6,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0
118,2,0,7,6,6,1.8399,-1.92173,-2.39883,1.11406,0.25953000000000004,-0.21712,-1.5485799999999998,5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0
119,2,0,8,5,6,-0.34799,0.63779,-0.97631,0.28783000000000003,1.46191,-0.21712,-0.8463700000000001,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0
120,1,0,5,5,6,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0
121,2,0,6,5,6,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987000000000001,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
122,4,1,5,5,6,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0
123,1,0,8,5,6,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987000000000001,5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1
124,3,1,1,5,6,-0.34799,1.93886,0.29338000000000003,0.43852,0.5848899999999999,-0.21712,-0.21575,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
125,4,1,8,5,6,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0
126,3,1,8,5,6,-1.1943,0.63779,-1.11902,-0.4532100000000001,-0.00665,-0.21712,-0.8463700000000001,5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0
127,3,0,2,5,6,-0.34799,-0.80615,-0.8473200000000001,0.28783000000000003,0.93949,-1.37983,-2.07848,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
128,2,1,0,5,0,0.04257,0.63779,0.14143,0.13136,0.25953000000000004,-0.21712,-1.18084,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0
129,3,0,5,5,6,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
130,3,0,1,5,6,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
131,3,0,1,5,5,-1.5507799999999998,-0.15487,-1.2755299999999998,2.4626200000000003,0.5848899999999999,-1.37983,-2.07848,4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
132,2,0,3,2,6,-0.24649,-0.57545,-0.58331,-0.15487,0.25953000000000004,-1.37983,-1.5485799999999998,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
133,2,1,5,5,6,-0.05188,0.16767,0.29338000000000003,-0.15487,0.12331,0.52975,0.40148,5,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,5,0,0
134,1,0,5,5,3,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148,6,1,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,0,1
135,2,0,1,5,6,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,1,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
136,3,0,8,5,6,-0.14882,-0.30033000000000004,-1.68062,1.81866,1.63088,1.29221,0.07987000000000001,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0
137,3,0,8,5,6,-1.1943,1.58487,0.29338000000000003,0.7609600000000001,0.41594,-2.55524,-1.18084,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
138,4,1,8,5,6,-0.46725,-0.80615,0.14143,0.28783000000000003,0.93949,-1.37983,-1.18084,6,0,0,4,6,1,6,0,0,0,0,0,0,0,2,0,6,0,0
139,3,1,1,5,6,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
140,1,0,8,5,0,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575,5,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
141,2,0,1,5,6,-0.79151,0.63779,-1.11902,1.2861,0.5848899999999999,-1.37983,-2.07848,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0
142,2,1,2,5,6,-0.46725,-0.30033000000000004,-1.2755299999999998,0.28783000000000003,-0.14277,0.52975,0.40148,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,3,0,0
143,2,1,6,5,1,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
144,3,1,6,1,6,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,-0.21712,0.7654,6,0,0,0,6,3,5,0,0,0,0,0,0,1,0,1,1,0,1
145,3,0,8,5,6,-0.46725,0.16767,-1.11902,2.23427,0.7583,1.29221,0.40148,4,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0
