,X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,ground_truth
44,0.62,808.5,367.5,220.5,3.5,2,0.0,0,0.0698301428956592,0.03151090762186909,0
45,0.62,808.5,367.5,220.5,3.5,3,0.0,0,-0.05319255097460272,0.3366909207411962,1
46,0.62,808.5,367.5,220.5,3.5,4,0.0,0,0.0657859261256403,0.03178023161863719,0
47,0.62,808.5,367.5,220.5,3.5,5,0.0,0,0.06713399838231329,0.03070293563156473,0
48,0.98,514.5,294.0,110.25,7.0,2,0.1,1,0.5006740361283364,0.41933746296795044,0
49,0.98,514.5,294.0,110.25,7.0,3,0.1,1,0.5020221083850094,0.4166442230002693,0
50,0.98,514.5,294.0,110.25,7.0,4,0.1,1,0.5020221083850094,0.4185294909776461,0
51,0.98,514.5,294.0,110.25,7.0,5,0.1,1,0.5009436505796709,0.4144896310261244,0
52,0.9,563.5,318.5,122.5,7.0,2,0.1,1,0.6206524669722296,0.5930514408833827,0
53,0.9,563.5,318.5,122.5,7.0,3,0.1,1,0.6433000808843353,0.5109076218691087,0
54,0.9,563.5,318.5,122.5,7.0,4,0.1,1,0.6236182259369102,0.5030972259628332,0
55,0.9,563.5,318.5,122.5,7.0,5,0.1,1,0.595308708546778,0.6310261244276865,0
56,0.86,588.0,294.0,147.0,7.0,2,0.1,1,0.546508492855217,0.5383786695394559,0
57,0.86,588.0,294.0,147.0,7.0,3,0.1,1,0.5634942032892962,0.39590627524912475,0
58,0.86,588.0,294.0,147.0,7.0,4,0.1,1,0.5489350229172283,0.43441960678696473,0
59,0.86,588.0,294.0,147.0,7.0,5,0.1,1,0.5192774332704232,0.5610018852679775,0
60,0.82,612.5,318.5,147.0,7.0,2,0.1,1,0.4723645187382043,0.44196067869647176,0
61,0.82,612.5,318.5,147.0,7.0,3,0.1,1,0.4858452413049339,0.377322919472125,0
62,0.82,612.5,318.5,147.0,7.0,4,0.1,1,0.47263413318953884,0.3692431995690815,0
63,0.82,612.5,318.5,147.0,7.0,5,0.1,1,0.44675114586141806,0.4742795583086454,0
64,0.79,637.0,343.0,147.0,7.0,2,0.1,1,0.7967107036937179,0.8289792620522489,0
65,0.79,637.0,343.0,147.0,7.0,3,0.1,1,0.8387705581019141,0.6566119041206571,0
66,0.79,637.0,343.0,147.0,7.0,4,0.1,1,0.8328390401725531,0.6337193643953676,0
67,0.79,637.0,343.0,147.0,7.0,5,0.1,1,0.8069560528444323,0.8734177215189873,0
68,0.76,661.5,416.5,122.5,7.0,2,0.1,1,0.7266109463467241,0.6186372205763533,0
69,0.76,661.5,416.5,122.5,7.0,3,0.1,1,0.7039633324346183,0.6240237005117155,0
70,0.76,661.5,416.5,122.5,7.0,4,0.1,1,0.7260717174440549,0.6259089684890924,0
71,0.76,661.5,416.5,122.5,7.0,5,0.1,1,0.7063898624966297,0.613250740640991,0
72,0.74,686.0,245.0,220.5,3.5,2,0.1,1,0.1172822863305473,0.06813897118233231,0
73,0.74,686.0,245.0,220.5,3.5,3,0.1,1,0.11916958748988946,0.07568004309183951,0
74,0.74,686.0,245.0,220.5,3.5,4,0.1,1,0.1172822863305473,0.06948559116617292,0
75,0.74,686.0,245.0,220.5,3.5,5,0.1,1,0.11809112968455107,0.07541071909507135,0
76,0.71,710.5,269.5,220.5,3.5,2,0.1,1,0.12671879212725803,0.07810395906275253,0
77,0.71,710.5,269.5,220.5,3.5,3,0.1,1,0.12914532218926936,0.09103151090762185,0
78,0.71,710.5,269.5,220.5,3.5,4,0.1,1,0.12644917767592342,0.07998922704012923,0
79,0.71,710.5,269.5,220.5,3.5,5,0.1,1,0.12779724993259636,0.09076218691085375,0
80,0.69,735.0,294.0,220.5,3.5,2,0.1,1,0.13750337018064165,0.09103151090762185,0
81,0.69,735.0,294.0,220.5,3.5,3,0.1,1,0.13804259908331087,0.09991920280096955,0
82,0.69,735.0,294.0,220.5,3.5,4,0.1,1,0.1369641412779725,0.0915701589011581,0
83,0.69,735.0,294.0,220.5,3.5,5,0.1,1,0.13885144243731465,0.09561001885267972,0
84,0.66,759.5,318.5,220.5,3.5,2,0.1,1,0.15287139390671337,0.08079719903043359,0
85,0.66,759.5,318.5,220.5,3.5,3,0.1,1,0.15314100835804798,0.07594936708860761,0
86,0.66,759.5,318.5,220.5,3.5,4,0.1,1,0.15341062280938253,0.08025855103689739,0
87,0.66,759.5,318.5,220.5,3.5,5,0.1,1,0.15314100835804798,0.0740640991112308,0
88,0.64,784.0,343.0,220.5,3.5,2,0.1,1,0.253437584254516,0.22811742526259088,0
89,0.64,784.0,343.0,220.5,3.5,3,0.1,1,0.24777568077648957,0.2297333692431996,0
90,0.64,784.0,343.0,220.5,3.5,4,0.1,1,0.7128363521468414,0.4721080307577309,1
91,0.64,784.0,343.0,220.5,3.5,5,0.1,1,0.24804529522782423,0.22677080527875032,0
92,0.62,808.5,367.5,220.5,3.5,2,0.1,1,0.1873820436775411,0.09264745488823051,0
93,0.62,808.5,367.5,220.5,3.5,3,0.1,1,0.18765165812887571,0.09695663883652034,0
94,0.62,808.5,367.5,220.5,3.5,4,0.1,1,0.18657320032353733,0.0923781308914624,0
95,0.62,808.5,367.5,220.5,3.5,5,0.1,1,0.47405095774593564,-0.18649011111052904,1
96,0.98,514.5,294.0,110.25,7.0,2,0.1,2,0.12017106942900324,0.8127721081989869,1
97,0.98,514.5,294.0,110.25,7.0,3,0.1,2,0.4933944459423024,0.396714247239429,0
98,0.98,514.5,294.0,110.25,7.0,4,0.1,2,0.48854138581827977,0.4101804470778346,0
99,0.98,514.5,294.0,110.25,7.0,5,0.1,2,0.49177675923429487,0.40371667115539994,0
100,0.9,563.5,318.5,122.5,7.0,2,0.1,2,0.4500838059606452,0.8753604961946101,1
101,0.9,563.5,318.5,122.5,7.0,3,0.1,2,0.638177406308978,0.4993266900080798,0
102,0.9,563.5,318.5,122.5,7.0,4,0.1,2,0.6152601779455378,0.49717209803393475,0
103,0.9,563.5,318.5,122.5,7.0,5,0.1,2,0.5901860339714208,0.6275249124697011,0
104,0.86,588.0,294.0,147.0,7.0,2,0.1,2,0.5519007818819088,0.5389173175329922,0
105,0.86,588.0,294.0,147.0,7.0,3,0.1,2,0.14444164194549103,0.6038105976297101,1
106,0.86,588.0,294.0,147.0,7.0,4,0.1,2,0.5478565651118898,0.44330729868031243,0
107,0.86,588.0,294.0,147.0,7.0,5,0.1,2,0.5217039633324345,0.5655803932130352,0
108,0.82,612.5,318.5,147.0,7.0,2,0.1,2,0.47829603666756526,0.44384594667384863,0
109,0.82,612.5,318.5,147.0,7.0,3,0.1,2,0.49123753033162576,0.38028548343657415,0
110,0.82,612.5,318.5,147.0,7.0,4,0.1,2,0.4761391210568886,0.3743603555076757,0
111,0.82,612.5,318.5,147.0,7.0,5,0.1,2,0.4524130493394445,0.4818206302181524,0
112,0.79,637.0,343.0,147.0,7.0,2,0.1,2,0.7991372337557292,0.8125504982493941,0
113,0.79,637.0,343.0,147.0,7.0,3,0.1,2,0.8425451604205983,0.6388365203339617,0
114,0.79,637.0,343.0,147.0,7.0,4,0.1,2,0.8347263413318953,0.6186372205763533,0
115,0.79,637.0,343.0,147.0,7.0,5,0.1,2,1.2411444486076417,1.1917003517735907,1
116,0.76,661.5,416.5,122.5,7.0,2,0.1,2,0.7320032353734158,0.6197145165634257,0
117,0.76,661.5,416.5,122.5,7.0,3,0.1,2,0.7115125370719869,0.6240237005117155,0
118,0.76,661.5,416.5,122.5,7.0,4,0.1,2,0.7309247775680775,0.6267169404793966,0
119,0.76,661.5,416.5,122.5,7.0,5,0.1,2,0.7117821515233215,0.6162133046054403,0
120,0.74,686.0,245.0,220.5,3.5,2,0.1,2,0.11889997303855485,0.0670616751952599,0
121,0.74,686.0,245.0,220.5,3.5,3,0.1,2,0.11997843084389323,0.07594936708860761,0
122,0.74,686.0,245.0,220.5,3.5,4,0.1,2,0.11620382852520897,0.07190950713708594,0
123,0.74,686.0,245.0,220.5,3.5,5,0.1,2,0.11970881639255862,0.07783463506598437,0
124,0.71,710.5,269.5,220.5,3.5,2,0.1,2,0.12483149096791588,0.074602747104767,0
125,0.71,710.5,269.5,220.5,3.5,3,0.1,2,0.12698840657859264,0.08645300296256392,0
126,0.71,710.5,269.5,220.5,3.5,4,0.1,2,0.12240496090590455,0.07810395906275253,0
127,0.71,710.5,269.5,220.5,3.5,5,0.1,2,0.1259099487732542,0.08914624293024509,0
128,0.69,735.0,294.0,220.5,3.5,2,0.1,2,0.14667026152601778,0.06194451925666572,0
129,0.69,735.0,294.0,220.5,3.5,3,0.1,2,0.1469398759773524,0.07110153514678152,0
130,0.69,735.0,294.0,220.5,3.5,4,0.1,2,0.14316527365866807,0.06517640721788309,0
131,0.69,735.0,294.0,220.5,3.5,5,0.1,2,0.14774871933135617,0.07029356315647722,0
132,0.66,759.5,318.5,220.5,3.5,2,0.1,2,0.14667026152601778,0.10665230272017234,0
133,0.66,759.5,318.5,220.5,3.5,3,0.1,2,0.145861418172014,0.10368973875572313,0
134,0.66,759.5,318.5,220.5,3.5,4,0.1,2,0.14343488811000268,0.11042283867492592,0
135,0.66,759.5,318.5,220.5,3.5,5,0.1,2,0.14613103262334862,0.10342041475895503,0
136,0.64,784.0,343.0,220.5,3.5,2,0.1,2,0.253437584254516,0.22434688930783736,0
137,0.64,784.0,343.0,220.5,3.5,3,0.1,2,0.2472364518738204,0.22730945327228652,0
138,0.64,784.0,343.0,220.5,3.5,4,0.1,2,0.2515502830951739,0.22677080527875032,0
139,0.64,784.0,343.0,220.5,3.5,5,0.1,2,0.247506066325155,0.22623215728521412,0
140,0.62,808.5,367.5,220.5,3.5,2,0.1,2,0.1852251280668644,0.09345542687853486,0
141,0.62,808.5,367.5,220.5,3.5,3,0.1,2,0.1884605014828795,0.0988419068138971,0
142,0.62,808.5,367.5,220.5,3.5,4,0.1,2,0.18765165812887571,0.09076218691085375,0
143,0.62,808.5,367.5,220.5,3.5,5,0.1,2,0.024177961783446472,0.2979333456342606,1
144,0.98,514.5,294.0,110.25,7.0,2,0.1,3,0.49258560258829864,0.39806086722326955,0
145,0.98,514.5,294.0,110.25,7.0,3,0.1,3,0.49582097600431374,0.4072178831133854,0
146,0.98,514.5,294.0,110.25,7.0,4,0.1,3,0.48800215691561055,0.4023700511715594,0
147,0.98,514.5,294.0,110.25,7.0,5,0.1,3,0.49447290374764086,0.41044977107460273,0
148,0.9,563.5,318.5,122.5,7.0,2,0.1,3,0.5947694796441089,0.6259089684890924,0
149,0.9,563.5,318.5,122.5,7.0,3,0.1,3,0.6201132380695604,0.591166172906006,0
150,0.9,563.5,318.5,122.5,7.0,4,0.1,3,0.6365597196009706,0.5165634258012388,0
151,0.9,563.5,318.5,122.5,7.0,5,0.1,3,0.6211916958748989,0.5055211419337464,0
152,0.86,588.0,294.0,147.0,7.0,2,0.1,3,0.5230520355891075,0.5610018852679775,0
153,0.86,588.0,294.0,147.0,7.0,3,0.1,3,0.5516311674305742,0.5416105575006733,0
154,0.86,588.0,294.0,147.0,7.0,4,0.1,3,0.562954974386627,0.403985995152168,0
155,0.86,588.0,294.0,147.0,7.0,5,0.1,3,0.5513615529792396,0.44438459466738484,0
156,0.82,612.5,318.5,147.0,7.0,2,0.1,3,0.4561876516581288,0.47885806625370314,0
157,0.82,612.5,318.5,147.0,7.0,3,0.1,3,0.4807225667295766,0.44815513062213835,0
158,0.82,612.5,318.5,147.0,7.0,4,0.1,3,0.4896198436236182,0.38917317532992196,0
159,0.82,612.5,318.5,147.0,7.0,5,0.1,3,0.48153141008358047,0.3778615674656612,0
160,0.79,637.0,343.0,147.0,7.0,2,0.1,3,0.4332964027057583,0.7435168479560514,1
161,0.79,637.0,343.0,147.0,7.0,3,0.1,3,0.794553788083041,0.8165903582009157,0
162,0.79,637.0,343.0,147.0,7.0,4,0.1,3,0.8347263413318953,0.6517640721788311,0
163,0.79,637.0,343.0,147.0,7.0,5,0.1,3,0.8274467511458614,0.6299488284406141,0
164,0.76,661.5,416.5,122.5,7.0,2,0.1,3,0.39905433793010026,0.815297469541107,1
165,0.76,661.5,416.5,122.5,7.0,3,0.1,3,0.735238608789431,0.6251009964987879,0
166,0.76,661.5,416.5,122.5,7.0,4,0.1,3,0.7096252359126448,0.6350659843792081,0
167,0.76,661.5,416.5,122.5,7.0,5,0.1,3,0.7341601509840927,0.6356046323727444,0
168,0.74,686.0,245.0,220.5,3.5,2,0.1,3,0.11809112968455107,0.07271747912739024,0
169,0.74,686.0,245.0,220.5,3.5,3,0.1,3,0.11674305742787813,0.06625370320495555,0
170,0.74,686.0,245.0,220.5,3.5,4,0.1,3,0.11701267187921269,0.0740640991112308,0
171,0.74,686.0,245.0,220.5,3.5,5,0.1,3,0.11782151523321652,0.06975491516294102,0
172,0.71,710.5,269.5,220.5,3.5,2,0.1,3,0.12833647883526553,0.08726097495286833,0
173,0.71,710.5,269.5,220.5,3.5,3,0.1,3,0.1259099487732542,0.07729598707244811,0
174,0.71,710.5,269.5,220.5,3.5,4,0.1,3,0.1259099487732542,0.0915701589011581,0
175,0.71,710.5,269.5,220.5,3.5,5,0.1,3,0.12644917767592342,0.07998922704012923,0
176,0.69,735.0,294.0,220.5,3.5,2,0.1,3,0.1404691291453222,0.09534069485591162,0
177,0.69,735.0,294.0,220.5,3.5,3,0.1,3,0.13885144243731465,0.09076218691085375,0
178,0.69,735.0,294.0,220.5,3.5,4,0.1,3,0.13723375572930704,0.10153514678157821,0
179,0.69,735.0,294.0,220.5,3.5,5,0.1,3,0.13831221353464548,0.09426339886883922,0
180,0.66,759.5,318.5,220.5,3.5,2,0.1,3,0.15044486384470204,0.06894694317263672,0
181,0.66,759.5,318.5,220.5,3.5,3,0.1,3,0.15071447829603665,0.07541071909507135,0
182,0.66,759.5,318.5,220.5,3.5,4,0.1,3,0.1488271771366945,0.07244815513062214,0
183,0.66,759.5,318.5,220.5,3.5,5,0.1,3,0.1509840927473712,0.07891193105305683,0
184,0.64,784.0,343.0,220.5,3.5,2,0.1,3,0.24669722297115124,0.2219229733369243,0
185,0.64,784.0,343.0,220.5,3.5,3,0.1,3,0.252089511997843,0.2230002693239968,0
186,0.64,784.0,343.0,220.5,3.5,4,0.1,3,0.24561876516581285,0.22811742526259088,0
187,0.64,784.0,343.0,220.5,3.5,5,0.1,3,0.252089511997843,0.22596283328844596,0
188,0.62,808.5,367.5,220.5,3.5,2,0.1,3,0.17983283904017253,0.08591435496902772,0
189,0.62,808.5,367.5,220.5,3.5,3,0.1,3,0.1784847667834996,0.08968489092378129,0
190,0.62,808.5,367.5,220.5,3.5,4,0.1,3,0.18064168239417636,0.08726097495286833,0
191,0.62,808.5,367.5,220.5,3.5,5,0.1,3,0.18118091129684552,0.08052787503366549,0
192,0.98,514.5,294.0,110.25,7.0,2,0.1,4,0.4952817471016445,0.40425531914893614,0
193,0.98,514.5,294.0,110.25,7.0,3,0.1,4,0.49123753033162576,0.39913816321034196,0
194,0.98,514.5,294.0,110.25,7.0,4,0.1,4,0.48611485575626845,0.41152706706167513,0
195,0.98,514.5,294.0,110.25,7.0,5,0.1,4,0.4936640603936371,0.40317802316186374,0
196,0.9,563.5,318.5,122.5,7.0,2,0.1,4,0.6214613103262333,0.49663345004039855,0
197,0.9,563.5,318.5,122.5,7.0,3,0.1,4,0.5942302507414396,0.6197145165634257,0
198,0.9,563.5,318.5,122.5,7.0,4,0.1,4,0.6160690212995416,0.5906275249124697,0
199,0.9,563.5,318.5,122.5,7.0,5,0.1,4,0.6411431652736586,0.5122542418529492,0
200,0.86,588.0,294.0,147.0,7.0,2,0.1,4,0.5508223240765705,0.43819014274171836,0
201,0.86,588.0,294.0,147.0,7.0,3,0.1,4,0.5219735777837692,0.5618098572582817,0
202,0.86,588.0,294.0,147.0,7.0,4,0.1,4,0.5478565651118898,0.5429571774845139,0
203,0.86,588.0,294.0,147.0,7.0,5,0.1,4,0.5667295767053113,0.401562079181255,0
204,0.82,612.5,318.5,147.0,7.0,2,0.1,4,0.6754250330594618,-0.08196064011253473,1
205,0.82,612.5,318.5,147.0,7.0,3,0.1,4,0.45268266379077915,0.4769727982763264,0
206,0.82,612.5,318.5,147.0,7.0,4,0.1,4,0.47398220544621184,0.4489631026124427,0
207,0.82,612.5,318.5,147.0,7.0,5,0.1,4,0.4915071447829602,0.3840560193913278,0
208,0.79,637.0,343.0,147.0,7.0,2,0.1,4,0.8317605823672147,0.6288715324535417,0
209,0.79,637.0,343.0,147.0,7.0,3,0.1,4,0.8056079805877594,0.8726097495286829,0
210,0.79,637.0,343.0,147.0,7.0,4,0.1,4,0.7937449447290374,0.8338270939940748,0
211,0.79,637.0,343.0,147.0,7.0,5,0.1,4,0.838231329199245,0.6568812281174252,0
212,0.76,661.5,416.5,122.5,7.0,2,0.1,4,0.7298463197627392,0.6251009964987879,0
213,0.76,661.5,416.5,122.5,7.0,3,0.1,4,0.7109733081693178,0.6119041206571505,0
214,0.76,661.5,416.5,122.5,7.0,4,0.1,4,0.7301159342140738,0.6191758685698896,0
215,0.76,661.5,416.5,122.5,7.0,5,0.1,4,0.7090860070099757,0.6234850525181792,0
216,0.74,686.0,245.0,220.5,3.5,2,0.1,4,0.10973308169317877,0.06194451925666572,0
217,0.74,686.0,245.0,220.5,3.5,3,0.1,4,0.11162038285252088,0.06625370320495555,0
218,0.74,686.0,245.0,220.5,3.5,4,0.1,4,0.10946346724184416,0.062213843253433876,0
219,0.74,686.0,245.0,220.5,3.5,5,0.1,4,0.11135076840118632,0.07083221115001342,0
220,0.71,710.5,269.5,220.5,3.5,2,0.1,4,0.12537071987058504,0.074602747104767,0
221,0.71,710.5,269.5,220.5,3.5,3,0.1,4,0.5461469531179338,-0.11274020660878226,1
222,0.71,710.5,269.5,220.5,3.5,4,0.1,4,0.12186573200323533,0.07783463506598437,0
223,0.71,710.5,269.5,220.5,3.5,5,0.1,4,0.12698840657859264,0.08887691893347693,0
224,0.69,735.0,294.0,220.5,3.5,2,0.1,4,0.2840115407783344,0.25456393664225785,1
225,0.69,735.0,294.0,220.5,3.5,3,0.1,4,0.1404691291453222,0.09668731483975224,0
226,0.69,735.0,294.0,220.5,3.5,4,0.1,4,0.4116649459411049,0.24320372520968173,1
227,0.69,735.0,294.0,220.5,3.5,5,0.1,4,0.13992990024265298,0.10315109076218693,0
228,0.66,759.5,318.5,220.5,3.5,2,0.1,4,0.14640064707468317,0.10665230272017234,0
229,0.66,759.5,318.5,220.5,3.5,3,0.1,4,-0.19779098409478127,-0.21212080403030503,1
230,0.66,759.5,318.5,220.5,3.5,4,0.1,4,0.14343488811000268,0.11042283867492592,0
231,0.66,759.5,318.5,220.5,3.5,5,0.1,4,0.14613103262334862,0.10584433072986804,0
232,0.64,784.0,343.0,220.5,3.5,2,0.1,4,0.25316796980318146,0.2246162133046054,0
233,0.64,784.0,343.0,220.5,3.5,3,0.1,4,0.247506066325155,0.22488553730137356,0
234,0.64,784.0,343.0,220.5,3.5,4,0.1,4,0.2510110541925047,0.22946404524643155,0
235,0.64,784.0,343.0,220.5,3.5,5,0.1,4,0.24669722297115124,0.23107998922704015,0
236,0.62,808.5,367.5,220.5,3.5,2,0.1,4,0.18441628471286056,0.09345542687853486,0
237,0.62,808.5,367.5,220.5,3.5,3,0.1,4,0.18953895928821782,0.09264745488823051,0
238,0.62,808.5,367.5,220.5,3.5,4,0.1,4,0.1884605014828795,0.09103151090762185,0
239,0.62,808.5,367.5,220.5,3.5,5,0.1,4,-0.2930658695255526,0.5849039063942618,1
240,0.98,514.5,294.0,110.25,7.0,2,0.1,5,0.49447290374764086,0.39698357123619715,0
241,0.98,514.5,294.0,110.25,7.0,3,0.1,5,0.4939336748449715,0.4061405871263129,0
242,0.98,514.5,294.0,110.25,7.0,4,0.1,5,0.4858452413049339,0.4034473471586318,0
243,0.98,514.5,294.0,110.25,7.0,5,0.1,5,0.49204637368562953,0.41152706706167513,0
244,0.9,563.5,318.5,122.5,7.0,2,0.1,5,0.6422216230789969,0.5095610018852679,0
245,0.9,563.5,318.5,122.5,7.0,3,0.1,5,0.6220005392289025,0.5014812819822245,0
246,0.9,563.5,318.5,122.5,7.0,4,0.1,5,0.5936910218387705,0.6342580123889039,0
247,0.9,563.5,318.5,122.5,7.0,5,0.1,5,0.620382852520895,0.5954753568542956,0
248,0.86,588.0,294.0,147.0,7.0,2,0.1,5,0.5667295767053113,0.4018314031780232,0
249,0.86,588.0,294.0,147.0,7.0,3,0.1,5,0.551091938527905,0.44249932669000797,0
250,0.86,588.0,294.0,147.0,7.0,4,0.1,5,0.5217039633324345,0.5693509291677887,0
251,0.86,588.0,294.0,147.0,7.0,5,0.1,5,0.7348947508365,0.929610430796833,1
252,0.82,612.5,318.5,147.0,7.0,2,0.1,5,0.49501213265030997,0.3827093994074872,0
253,0.82,612.5,318.5,147.0,7.0,3,0.1,5,0.4820706389862496,0.37355238351737136,0
254,0.82,612.5,318.5,147.0,7.0,4,0.1,5,0.4551091938527905,0.4842445461890654,0
255,0.82,612.5,318.5,147.0,7.0,5,0.1,5,0.4812617956322458,0.45219499057366014,0
256,0.79,637.0,343.0,147.0,7.0,2,0.1,5,0.8363440280399028,0.6488015082143819,0
257,0.79,637.0,343.0,147.0,7.0,3,0.1,5,0.827716365597196,0.6269862644761648,0
258,0.79,637.0,343.0,147.0,7.0,4,0.1,5,0.8293340523052035,0.8683005655803933,0
259,0.79,637.0,343.0,147.0,7.0,5,0.1,5,0.794553788083041,0.8176676541879881,0
260,0.76,661.5,416.5,122.5,7.0,2,0.1,5,0.7090860070099757,0.6288715324535417,0
261,0.76,661.5,416.5,122.5,7.0,3,0.1,5,0.7333513076300889,0.6315647724212228,0
262,0.76,661.5,416.5,122.5,7.0,4,0.1,5,0.7131302237799946,0.6124427686506868,0
263,0.76,661.5,416.5,122.5,7.0,5,0.1,5,0.7349689943380965,0.6189065445731214,0
264,0.74,686.0,245.0,220.5,3.5,2,0.1,5,0.12024804529522784,0.0740640991112308,0
265,0.74,686.0,245.0,220.5,3.5,3,0.1,5,0.11755190078188185,0.06840829517910041,0
266,0.74,686.0,245.0,220.5,3.5,4,0.1,5,0.11674305742787813,0.07594936708860761,0
267,0.74,686.0,245.0,220.5,3.5,5,0.1,5,0.11809112968455107,0.07002423915970912,0
268,0.71,710.5,269.5,220.5,3.5,2,0.1,5,0.12860609328660014,0.08833827093994073,0
269,0.71,710.5,269.5,220.5,3.5,3,0.1,5,0.12644917767592342,0.07675733907891191,0
270,0.71,710.5,269.5,220.5,3.5,4,0.1,5,0.12564033432191965,0.09049286291408565,0
271,0.71,710.5,269.5,220.5,3.5,5,0.1,5,-0.12460821770153627,-0.31866234911796015,1
272,0.69,735.0,294.0,220.5,3.5,2,0.1,5,0.1401995146939876,0.0983032588203609,0
273,0.69,735.0,294.0,220.5,3.5,3,0.1,5,0.13831221353464548,0.09103151090762185,0
274,0.69,735.0,294.0,220.5,3.5,4,0.1,5,0.13750337018064165,0.09587934284944788,0
275,0.69,735.0,294.0,220.5,3.5,5,0.1,5,0.13885144243731465,0.09399407487207112,0
276,0.66,759.5,318.5,220.5,3.5,2,0.1,5,0.14478296036667568,0.09803393482359274,0
277,0.66,759.5,318.5,220.5,3.5,3,0.1,5,0.1437045025613373,0.10530568273633178,0
