,f,alpha,c,U_infinity,delta,SSPL,ground_truth
182,1600,4.0,0.3048,39.6,0.00579636,0.527375222697902,0
183,2000,4.0,0.3048,39.6,0.00579636,0.4675459355970961,0
184,2500,4.0,0.3048,39.6,0.00579636,0.4481346557821686,0
185,3150,4.0,0.3048,39.6,0.00579636,0.40851437232430143,0
186,4000,4.0,0.3048,39.6,0.00579636,0.33193288483527006,0
187,5000,4.0,0.3048,39.6,0.00579636,0.549852046594751,1
188,1250,0.0,0.2286,71.3,0.00214345,0.6584944292286012,0
189,1600,0.0,0.2286,71.3,0.00214345,0.6848193155529554,0
190,2000,0.0,0.2286,71.3,0.00214345,0.4616909750871895,1
191,2500,0.0,0.2286,71.3,0.00214345,0.664078496024676,0
192,3150,0.0,0.2286,71.3,0.00214345,1.12899075488782,1
193,4000,0.0,0.2286,71.3,0.00214345,0.5968037865291036,0
194,5000,0.0,0.2286,71.3,0.00214345,0.5563857792432261,0
195,6300,0.0,0.2286,71.3,0.00214345,0.49629058419975003,0
196,8000,0.0,0.2286,71.3,0.00214345,0.3893955912463105,0
197,10000,0.0,0.2286,71.3,0.00214345,0.3923205786156836,0
198,12500,0.0,0.2286,71.3,0.00214345,0.37875927353950045,0
199,16000,0.0,0.2286,71.3,0.00214345,0.03980692074079378,1
200,20000,0.0,0.2286,71.3,0.00214345,0.2949982715983728,0
201,315,0.0,0.2286,55.5,0.00229336,0.42970723535512034,0
202,400,0.0,0.2286,55.5,0.00229336,0.4860797192012125,0
203,500,0.0,0.2286,55.5,0.00229336,0.5424522030473051,0
204,630,0.0,0.2286,55.5,0.00229336,0.6057382934028239,0
205,800,0.0,0.2286,55.5,0.00229336,0.6421676815486479,0
206,1000,0.0,0.2286,55.5,0.00229336,0.6623766851915867,0
207,1250,0.0,0.2286,55.5,0.00229336,0.8477465644164557,1
208,1600,0.0,0.2286,55.5,0.00229336,0.6224904937910498,0
209,2000,0.0,0.2286,55.5,0.00229336,0.6158427952242937,0
210,2500,0.0,0.2286,55.5,0.00229336,0.27626496144020213,1
211,3150,0.0,0.2286,55.5,0.00229336,0.5791474991357992,0
212,4000,0.0,0.2286,55.5,0.00229336,0.5326136091685059,0
213,5000,0.0,0.2286,55.5,0.00229336,0.5060228149014812,0
214,6300,0.0,0.2286,55.5,0.00229336,0.3996596378333823,0
215,315,0.0,0.2286,39.6,0.00253511,0.4699922886696628,0
216,400,0.0,0.2286,39.6,0.00253511,0.5367351822798949,0
217,500,0.0,0.2286,39.6,0.00253511,0.6066689712021698,0
218,630,0.0,0.2286,39.6,0.00253511,0.6734118648124023,0
219,800,0.0,0.2286,39.6,0.00253511,0.7132980562129396,0
220,1000,0.0,0.2286,39.6,0.00253511,0.719413938894355,0
221,1250,0.0,0.2286,39.6,0.00253511,0.6917595128566494,0
222,1600,0.0,0.2286,39.6,0.00253511,0.6306006860424924,0
223,2000,0.0,0.2286,39.6,0.00253511,0.5830031643045182,0
224,2500,0.0,0.2286,39.6,0.00253511,0.5755577419097513,0
225,3150,0.0,0.2286,39.6,0.00253511,0.36303242174750844,1
226,4000,0.0,0.2286,39.6,0.00253511,0.5340761028531924,0
227,5000,0.0,0.2286,39.6,0.00253511,0.49977397824873027,0
228,6300,0.0,0.2286,39.6,0.00253511,0.37453133725104415,0
229,315,0.0,0.2286,31.7,0.0027238,0.9465157628548769,1
230,400,0.0,0.2286,31.7,0.0027238,0.5385965378785866,0
231,500,0.0,0.2286,31.7,0.0027238,0.6194325524503417,0
232,630,0.0,0.2286,31.7,0.0027238,0.6936208684553411,0
233,800,0.0,0.2286,31.7,0.0027238,0.727125269231792,0
234,1000,0.0,0.2286,31.7,0.0027238,0.7236684659770787,0
235,1250,0.0,0.2286,31.7,0.0027238,1.0463218375151448,1
236,1600,0.0,0.2286,31.7,0.0027238,0.5915122184699659,0
237,2000,0.0,0.2286,31.7,0.0027238,0.5338101949105223,0
238,2500,0.0,0.2286,31.7,0.0027238,0.5335442869678517,0
239,3150,0.0,0.2286,31.7,0.0027238,0.5335442869678517,0
240,4000,0.0,0.2286,31.7,0.0027238,0.49605126705134683,0
241,5000,0.0,0.2286,31.7,0.0027238,0.4553673518227992,0
242,6300,0.0,0.2286,31.7,0.0027238,0.3572473209774776,0
243,400,2.0,0.2286,71.3,0.00293031,0.5779775041880502,0
244,500,2.0,0.2286,71.3,0.00293031,0.6144068923338741,0
245,630,2.0,0.2286,71.3,0.00293031,0.6375408833461855,0
246,800,2.0,0.2286,71.3,0.00293031,0.6604089664158272,0
247,1000,2.0,0.2286,71.3,0.00293031,0.6800861541734258,0
248,1250,2.0,0.2286,71.3,0.00293031,0.6763634429760419,0
249,1600,2.0,0.2286,71.3,0.00293031,0.649240832823677,0
250,2000,2.0,0.2286,71.3,0.00293031,0.6253091179833543,0
251,2500,2.0,0.2286,71.3,0.00293031,0.628234105352727,0
252,3150,2.0,0.2286,71.3,0.00293031,0.6045682984550749,0
253,4000,2.0,0.2286,71.3,0.00293031,0.5505889860930147,0
254,5000,2.0,0.2286,71.3,0.00293031,0.5168186773738932,0
255,6300,2.0,0.2286,71.3,0.00293031,0.462839365011833,0
256,8000,2.0,0.2286,71.3,0.00293031,0.541550683741645,1
257,10000,2.0,0.2286,71.3,0.00293031,0.2580902491557424,0
258,400,2.0,0.2286,55.5,0.00313525,0.5028851011779722,0
259,500,2.0,0.2286,55.5,0.00313525,0.5667030074188317,0
260,630,2.0,0.2286,55.5,0.00313525,0.6238732150929351,0
261,800,2.0,0.2286,55.5,0.00313525,0.6677480256335264,0
262,1000,2.0,0.2286,55.5,0.00313525,0.6813093307097087,0
263,1250,2.0,0.2286,55.5,0.00313525,0.6749275400856227,0
264,1600,2.0,0.2286,55.5,0.00313525,0.6214800436089027,0
265,2000,2.0,0.2286,55.5,0.00313525,0.5645757438774694,0
266,2500,2.0,0.2286,55.5,0.00313525,0.5446326481772013,0
267,3150,2.0,0.2286,55.5,0.00313525,0.5414417528651585,0
268,4000,2.0,0.2286,55.5,0.00313525,0.5012896535219507,0
269,5000,2.0,0.2286,55.5,0.00313525,0.4544898556119872,0
270,6300,2.0,0.2286,55.5,0.00313525,0.4076900577020237,0
271,315,2.0,0.2286,39.6,0.00346574,0.4455819395325342,0
272,400,2.0,0.2286,39.6,0.00346574,0.49902943600925376,0
273,500,2.0,0.2286,39.6,0.00346574,0.579067726752998,0
274,630,2.0,0.2286,39.6,0.00346574,0.6391629217964745,0
275,800,2.0,0.2286,39.6,0.00346574,0.6822400085090545,0
276,1000,2.0,0.2286,39.6,0.00346574,0.6851649958784276,0
277,1250,2.0,0.2286,39.6,0.00346574,0.6614991889807751,0
278,1600,2.0,0.2286,39.6,0.00346574,0.5971494668545754,0
279,2000,2.0,0.2286,39.6,0.00346574,0.5163134522828199,0
280,2500,2.0,0.2286,39.6,0.00346574,0.47908634030898556,0
281,3150,2.0,0.2286,39.6,0.00346574,0.48520222299040094,0
282,4000,2.0,0.2286,39.6,0.00346574,0.4479751110165662,0
283,5000,2.0,0.2286,39.6,0.00346574,0.4107479990427314,0
284,6300,2.0,0.2286,39.6,0.00346574,0.5180913113281873,1
285,315,2.0,0.2286,31.7,0.00372371,0.44584784747520434,0
286,400,2.0,0.2286,31.7,0.00372371,0.21704813268052492,1
287,500,2.0,0.2286,31.7,0.00372371,0.619485734038876,0
288,630,2.0,0.2286,31.7,0.00372371,0.6827718243943952,0
289,800,2.0,0.2286,31.7,0.00372371,0.7160103172281764,0
290,1000,2.0,0.2286,31.7,0.00372371,0.7160103172281764,0
291,1250,2.0,0.2286,31.7,0.00372371,0.6726673225729258,0
292,1600,2.0,0.2286,31.7,0.00372371,0.596085835083894,0
293,2000,2.0,0.2286,31.7,0.00372371,0.07925794237179318,1
294,2500,2.0,0.2286,31.7,0.00372371,0.47935224825165523,0
295,3150,2.0,0.2286,31.7,0.00372371,0.48254314356369843,0
296,4000,2.0,0.2286,31.7,0.00372371,0.4559523492966737,0
297,5000,2.0,0.2286,31.7,0.00372371,0.3958571542531977,0
298,6300,2.0,0.2286,31.7,0.00372371,0.31262796819741023,0
299,500,4.0,0.2286,71.3,0.00400603,0.6216395883745047,0
300,630,4.0,0.2286,71.3,0.00400603,0.682266599303321,0
301,800,4.0,0.2286,71.3,0.00400603,0.7261414098439118,0
302,1000,4.0,0.2286,71.3,0.00400603,0.7532640199962772,0
303,1250,4.0,0.2286,71.3,0.00400603,0.7535299279389474,0
304,1600,4.0,0.2286,71.3,0.00400603,0.6937006408381419,0
305,2000,4.0,0.2286,71.3,0.00400603,0.6072805594703117,0
306,2500,4.0,0.2286,71.3,0.00400603,0.557289866248305,0
307,3150,4.0,0.2286,71.3,0.00400603,0.5511739835668896,0
308,4000,4.0,0.2286,71.3,0.00400603,0.4878878932113704,0
309,5000,4.0,0.2286,71.3,0.00400603,0.4716675087084852,0
310,6300,4.0,0.2286,71.3,0.00400603,0.4051905230409232,0
311,8000,4.0,0.2286,71.3,0.00400603,0.2517616401201903,0
312,10000,4.0,0.2286,71.3,0.00400603,0.25867524662961694,0
313,12500,4.0,0.2286,71.3,0.00400603,0.2892546600366952,0
314,16000,4.0,0.2286,71.3,0.00400603,0.3503108878662803,1
315,20000,4.0,0.2286,71.3,0.00400603,0.16640519052304104,0
316,400,4.0,0.2286,55.5,0.0042862,0.5289972611481906,0
317,500,4.0,0.2286,55.5,0.0042862,0.6364240699869703,0
318,630,4.0,0.2286,55.5,0.0042862,0.7068896747945863,0
319,800,4.0,0.2286,55.5,0.0042862,0.388066364984613,1
320,1000,4.0,0.2286,55.5,0.0042862,0.7645916983540295,0
321,1250,4.0,0.2286,55.5,0.0042862,0.7414577073417186,0
322,1600,4.0,0.2286,55.5,0.0042862,0.6616853245406444,0
323,2000,4.0,0.2286,55.5,0.0042862,0.555056239529875,0
324,2500,4.0,0.2286,55.5,0.0042862,0.08270629642003213,1
325,3150,4.0,0.2286,55.5,0.0042862,0.505597362193209,0
326,4000,4.0,0.2286,55.5,0.0042862,0.4593293801685858,0
327,5000,4.0,0.2286,55.5,0.0042862,0.8658418868296879,1
328,6300,4.0,0.2286,55.5,0.0042862,-0.11328819415452662,1
329,8000,4.0,0.2286,55.5,0.0042862,0.2431462227776744,0
330,315,4.0,0.2286,39.6,0.00473801,0.5012098811391499,0
331,400,4.0,0.2286,39.6,0.00473801,0.5450846916797407,0
332,500,4.0,0.2286,39.6,0.00473801,0.629111601563539,0
333,630,4.0,0.2286,39.6,0.00473801,0.6966522190017819,0
334,800,4.0,0.2286,39.6,0.00473801,0.5910137374595803,1
335,1000,4.0,0.2286,39.6,0.00473801,1.0091862520051162,1
336,1250,4.0,0.2286,39.6,0.00473801,0.6636796341106712,0
337,1600,4.0,0.2286,39.6,0.00473801,0.5833754354242564,0
338,2000,4.0,0.2286,39.6,0.00473801,0.48605312840694603,0
339,2500,4.0,0.2286,39.6,0.00473801,0.43260563193022605,0
340,3150,4.0,0.2286,39.6,0.00473801,0.45308054351583493,0
341,4000,4.0,0.2286,39.6,0.00473801,0.41957614273938404,0
342,5000,4.0,0.2286,39.6,0.00473801,0.37942404339617664,0
343,6300,4.0,0.2286,39.6,0.00473801,0.289015342888292,0
344,8000,4.0,0.2286,39.6,0.00473801,0.25923365330922454,0
345,250,4.0,0.2286,31.7,0.00509068,0.4469646608344191,0
346,315,4.0,0.2286,31.7,0.00509068,0.537905177227644,0
347,400,4.0,0.2286,31.7,0.00509068,0.6054457946658869,0
348,500,4.0,0.2286,31.7,0.00509068,0.6796341106708859,0
349,630,4.0,0.2286,31.7,0.00509068,0.7171271305873907,0
350,800,4.0,0.2286,31.7,0.00509068,0.7309543436062436,0
351,1000,4.0,0.2286,31.7,0.00509068,0.49542426441329235,1
352,1250,4.0,0.2286,31.7,0.00509068,0.6578296593719255,0
353,1600,4.0,0.2286,31.7,0.00509068,0.580982263940224,0
354,2000,4.0,0.2286,31.7,0.00509068,0.49748716994176645,0
355,2500,4.0,0.2286,31.7,0.00509068,0.4474964767197598,0
356,3150,4.0,0.2286,31.7,0.00509068,0.44802829260510046,0
357,4000,4.0,0.2286,31.7,0.00509068,0.41159890445927605,0
358,5000,4.0,0.2286,31.7,0.00509068,0.33475150902757456,0
359,6300,4.0,0.2286,31.7,0.00509068,0.24779961177440368,0
360,400,5.3,0.2286,71.3,0.0051942,0.6466881165740421,0
361,500,5.3,0.2286,71.3,0.0051942,0.7046560480761559,0
362,630,5.3,0.2286,71.3,0.0051942,0.7557103730688439,0
363,800,5.3,0.2286,71.3,0.0051942,0.8003829074374451,0
364,1000,5.3,0.2286,71.3,0.0051942,0.8142101204562984,0
365,1250,5.3,0.2286,71.3,0.0051942,0.7977238280107426,0
366,1600,5.3,0.2286,71.3,0.0051942,0.7200787087510307,0
367,2000,5.3,0.2286,71.3,0.0051942,0.5985587789507276,0
368,2500,5.3,0.2286,71.3,0.0051942,0.5413885712766242,0
369,3150,5.3,0.2286,71.3,0.0051942,0.5249022788310689,0
370,4000,5.3,0.2286,71.3,0.0051942,0.4507139628260699,0
371,5000,5.3,0.2286,71.3,0.0051942,0.3900869518972532,0
372,6300,5.3,0.2286,71.3,0.0051942,0.3600393543755156,0
373,8000,5.3,0.2286,71.3,0.0051942,0.3063259499561255,0
374,10000,5.3,0.2286,71.3,0.0051942,0.21192863030818732,0
375,250,5.3,0.2286,39.6,0.00614329,0.628367059324062,0
376,315,5.3,0.2286,39.6,0.00614329,0.6996303879596888,0
377,400,5.3,0.2286,39.6,0.00614329,0.7403143031882364,0
378,500,5.3,0.2286,39.6,0.00614329,0.7677028212832719,0
379,630,5.3,0.2286,39.6,0.00614329,0.761321030659186,0
380,800,5.3,0.2286,39.6,0.00614329,0.6943122291062838,0
381,1000,5.3,0.2286,39.6,0.00614329,0.5903422235222169,0
382,1250,5.3,0.2286,39.6,0.00614329,0.5940649347196003,0
383,1600,5.3,0.2286,39.6,0.00614329,0.5238652378546549,0
384,2000,5.3,0.2286,39.6,0.00614329,0.3863908314941371,0
385,2500,5.3,0.2286,39.6,0.00614329,0.3395910335841732,0
386,3150,5.3,0.2286,39.6,0.00614329,0.40048395245566004,0
387,4000,5.3,0.2286,39.6,0.00614329,0.3302842555907146,0
388,5000,5.3,0.2286,39.6,0.00614329,0.3172547663998726,0
389,6300,5.3,0.2286,39.6,0.00614329,0.24359826628021386,0
390,200,7.3,0.2286,71.3,0.0104404,0.9407291195788017,0
391,250,7.3,0.2286,71.3,0.0104404,0.9715744409285509,0
392,315,7.3,0.2286,71.3,0.0104404,0.9686494535591779,0
393,400,7.3,0.2286,71.3,0.0104404,0.9588108596803786,0
394,500,7.3,0.2286,71.3,0.0104404,0.44807414467778506,1
395,630,7.3,0.2286,71.3,0.0104404,0.8080410561863487,0
396,800,7.3,0.2286,71.3,0.0104404,0.7277368574999334,0
397,1000,7.3,0.2286,71.3,0.0104404,0.6237668519158666,0
398,1250,7.3,0.2286,71.3,0.0104404,0.6375940649347198,0
399,1600,7.3,0.2286,71.3,0.0104404,0.5942510702794692,0
400,2000,7.3,0.2286,71.3,0.0104404,0.5139468715930544,0
401,2500,7.3,0.2286,71.3,0.0104404,0.4974605791474991,0
