,C1,C2,C3,C4,C5,C6,C7,Age,Strength,ground_truth
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,0.6349877166761154,0
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,0.4836279613118246,0
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,0.6203336253843906,0
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,0.6898825064732876,1
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,0.4518888831623975,0
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,0.6593997491796801,0
31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,0.8748987338186575,1
32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,0.4907059045852016,0
33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,0.9549631310045977,1
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,0.6398666872820353,0
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,0.4494493978594375,0
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,0.34569396485079623,0
37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,0.4409026095620952,0
38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,0.497053720215087,0
39,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,0.4225892903159305,0
40,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,0.5995894105722482,0
41,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,0.5153584497242694,0
42,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,0.45676785376831763,0
43,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,0.632539641636173,0
44,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,0.48850693191774464,0
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,0.09225021620328627,1
46,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,0.1584376986376677,0
47,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,0.6848216242377831,1
48,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,0.29808105275816454,0
49,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,0.3798725283031833,0
50,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,0.46653438471714,0
51,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,0.5556443161710387,0
52,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,0.03987935399082809,1
53,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,0.5837155766290436,0
54,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,0.15270834407050454,0
55,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,0.15331821539624452,0
56,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,0.49338590252366465,0
57,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,0.08471198611898503,0
58,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,0.6056881238296483,0
59,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,0.3823120136061434,0
60,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,0.6484134755793777,0
61,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,0.6154546547784706,0
62,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,0.09386864574206737,0
63,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,0.6020288958752082,0
64,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,0.5776168633716435,0
65,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,0.65696026387672,0
66,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,0.5278135683485371,0
67,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,0.3481334501537563,0
68,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,0.4799601436204024,0
69,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,0.8678039478431171,0
70,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,0.39949148757065056,0
71,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,0.32974282327475135,0
72,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.13544712135561643,1
73,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,0.4231991616416705,0
74,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,0.33223384699960484,0
75,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,0.4418388908931608,0
76,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,0.47173117559140343,0
77,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.3870363689463829,0
78,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,0.3209812915528526,0
79,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,0.48547475476300916,0
80,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,0.3870363689463829,0
81,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,0.16065932659658205,1
82,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,0.08379350688652998,1
83,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.41074404301740297,0
84,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,0.3234723152777062,0
85,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,0.3272517995498978,0
86,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.41074404301740297,0
87,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,0.2749403013279733,0
88,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.41074404301740297,0
89,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,0.46056451751447364,0
90,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,0.6338618592179355,1
91,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,0.41074404301740297,0
92,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,0.2711608170557817,0
93,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,0.5465477847068322,0
94,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,0.5041144840144994,0
95,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.7323148189269417,1
96,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,0.250210338410807,1
97,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,0.5402772767097871,0
98,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,0.6636258997749488,0
99,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,0.6548643680530503,0
100,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.2485896531967421,1
101,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,0.4057619955676957,0
102,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,0.5552234190589084,0
103,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,0.5839131405796354,0
104,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,-0.05350064919126568,1
105,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,0.22288195284515022,1
106,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.6673194866773179,0
107,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,0.591386211754196,0
108,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,0.5577144427837619,0
109,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.6673194866773179,0
110,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,0.4443299146180144,0
111,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.6673194866773179,0
112,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,0.6698105104021715,0
113,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,0.7071758662749746,0
114,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,0.2562146747066605,0
115,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,0.4082530192925493,0
116,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,0.7320861035235101,0
117,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,0.7159373979968733,0
118,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.7221220086240958,0
119,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,0.7408476352454088,0
120,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,0.6772835815767321,0
121,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,0.8218488549880603,0
122,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,0.8044116889140853,0
123,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.7221220086240958,0
124,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,0.6025528698311258,0
125,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,0.6735899946743631,0
126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,0.7221220086240958,0
127,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,0.6623374392276109,0
128,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,1.0660589053487353,1
129,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.8592142108608631,0
130,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,0.9015616141833737,0
131,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,0.6212784964524386,0
132,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.8592142108608631,0
133,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,0.8143757838134996,0
134,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.8592142108608631,0
135,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,0.7931591334673331,0
136,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,0.8990705904585201,0
137,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,0.8592142108608631,0
138,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,0.5925887749317116,0
139,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,0.7607758250442371,0
140,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,0.77950145166555,0
141,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.7720283804909893,0
142,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,0.77950145166555,0
143,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,0.7209194454465804,0
144,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,0.8716693294851311,0
145,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,0.8343039736123279,0
146,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.7720283804909893,0
147,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,0.6586438523252418,0
148,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,0.7034822793726055,0
149,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,0.7720283804909893,0
150,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,0.7944475940146712,0
151,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,0.8891064955591057,0
152,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.9339449226064697,0
153,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,0.9701077153017574,0
154,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,0.6548643680530503,0
155,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.9339449226064697,0
156,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,0.8803449638372073,0
157,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,0.9339449226064697,0
158,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,0.8641962583105705,0
159,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,0.9601436204023429,0
160,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,1.412684394488466,1
161,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,0.7171399611743888,0
162,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,0.77950145166555,0
163,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,0.8006322046418938,0
164,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.9789759627031426,1
165,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,0.8019206651892319,0
166,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,0.7496091669673074,0
167,475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,0.5274007162783969,1
168,469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,0.8517411396863025,0
169,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.783195038567919,0
170,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,0.6885361370234844,0
171,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,0.7084643268223126,0
172,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,0.783195038567919,0
173,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,0.8193578312632066,0
174,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,0.9115257090827875,0
175,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.9588551598550052,0
176,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,0.6747925578518785,0
177,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.9588551598550052,0
178,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,0.9277603119792471,0
179,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.9588551598550052,0
180,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,0.8841244481093988,0
181,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,1.0,0
182,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,0.9588551598550052,0
183,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,0.8155783469910151,0
184,222.36,0.0,96.67,189.29,4.46,967.08,870.32,3,0.1151711934580563,0
185,222.36,0.0,96.67,189.29,4.46,967.08,870.32,14,0.2755415829167311,0
186,222.36,0.0,96.67,189.29,4.46,967.08,870.32,28,0.2810390145853734,0
187,222.36,0.0,96.67,189.29,4.46,967.08,870.32,56,0.3378171760380697,0
188,222.36,0.0,96.67,189.29,4.46,967.08,870.32,100,0.47817347832809354,0
189,233.81,0.0,94.58,197.89,4.567,947.04,852.16,3,0.10031094847875756,0
190,233.81,0.0,94.58,197.89,4.567,947.04,852.16,14,0.2467659640261815,0
191,233.81,0.0,94.58,197.89,4.567,947.04,852.16,28,0.25544159837825764,0
192,233.81,0.0,94.58,197.89,4.567,947.04,852.16,56,0.31556975725403286,0
193,233.81,0.0,94.58,197.89,4.567,947.04,852.16,100,0.4014671270765689,0
194,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,3,0.12608015942551837,0
195,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14,0.2822415777628889,0
196,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28,0.29143259633390023,0
197,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56,0.6866233204602465,1
198,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100,0.43616966448487343,0
199,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3,0.15837757047879192,0
200,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14,0.2333659743338659,0
201,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28,0.2998505385765088,0
202,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56,0.411259427236338,0
203,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100,0.47636963356182027,0
204,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3,-0.24577551256762142,1
205,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14,0.23156212956759264,0
206,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28,0.28121080932501846,0
207,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56,0.3970863612156196,0
208,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100,0.46442989915648775,0
209,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3,0.09593018261780824,0
210,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14,0.2211685478190658,0
211,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28,0.2759710697658438,0
212,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56,0.3638440790942981,0
213,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100,0.411259427236338,0
214,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3,0.08862890618289267,0
215,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14,0.5368711721194555,1
216,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28,0.3256197495232696,0
217,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56,0.45137349894346235,0
218,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100,0.4741363019464344,0
219,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3,0.10503530381899705,0
220,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14,0.28842618839011147,0
221,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28,0.03327024127559722,1
222,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56,0.32759538902918794,0
223,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100,0.38884021371265604,0
224,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,-0.3348147098069463,1
225,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,0.19299421051727395,0
226,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,0.7617199013701008,1
227,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,0.3802504767304025,0
228,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,0.4597055438162483,0
229,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,0.575869770146258,1
230,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,0.3494992183339346,0
231,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,0.5403631740796097,0
232,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,0.6034977408991736,0
233,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,0.642495146798605,0
234,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3,0.29710401073633286,1
235,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14,0.19316600525691902,0
236,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28,0.472160662440516,0
237,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56,0.5581439296328746,0
238,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100,0.5935336459997594,0
239,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3,-0.023803812867033813,1
240,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,0.24899929564156748,0
241,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28,0.276658248724424,0
242,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56,0.36152485010908963,0
243,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100,0.4799773230943668,0
244,238.05,0.0,94.11,186.66,7.0,949.91,847.01,3,0.21927880568296998,0
245,238.05,0.0,94.11,186.66,7.0,949.91,847.01,14,0.2910031094847876,0
246,238.05,0.0,94.11,186.66,7.0,949.91,847.01,28,0.3476094761978389,0
247,238.05,0.0,94.11,186.66,7.0,949.91,847.01,56,0.46417220704702017,0
248,238.05,0.0,94.11,186.66,7.0,949.91,847.01,100,0.5228401106358124,0
249,250.0,0.0,95.69,187.42,5.53,956.86,861.17,3,0.1430878386503805,0
250,250.0,0.0,95.69,187.42,5.53,956.86,861.17,14,0.28138260406466353,0
251,250.0,0.0,95.69,187.42,5.53,956.86,861.17,28,0.334982562833926,0
252,250.0,0.0,95.69,187.42,5.53,956.86,861.17,56,0.4484529883694961,0
253,250.0,0.0,95.69,187.42,5.53,956.86,861.17,100,0.4985311549760346,0
254,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3,0.1396519438574791,0
255,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14,0.2987338727688158,0
256,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28,0.36513253964163617,0
257,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56,0.5010221787008882,0
258,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100,0.505660636671305,0
259,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3,0.13707502276280298,0
260,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14,0.2870518304729509,0
261,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28,0.4369427408132762,0
262,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56,0.5240426738133278,0
263,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100,0.5657028981772578,0
264,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3,0.21412496349361781,0
265,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14,0.36152485010908963,0
266,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28,0.45060042261505956,0
267,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56,0.5326324107955814,0
268,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100,0.5666477692453058,0
269,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3,0.16327372055867645,0
270,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14,0.3044889965469257,0
271,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28,0.0854969947744289,1
272,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56,0.5029119208369839,0
273,231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100,0.5419952241062378,0
274,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3,0.1855211393427133,0
275,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14,0.3438299919256472,0
276,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28,0.3403940971327458,0
277,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56,0.4315312065144565,0
278,251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100,0.5139067841742685,0
279,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3,0.13441220429830436,0
280,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14,0.27528389080726345,0
281,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28,0.3778453503753715,0
282,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56,0.4274081327629748,0
283,251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100,0.5217234448281194,0
284,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3,0.1406827122953495,0
285,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14,0.6767337084490106,1
286,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28,-0.05690158522475641,1
287,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56,0.4140940404404817,0
288,181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100,0.5361542029583054,0
289,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,0.06208661890772903,0
290,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,0.23886340600250822,0
291,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,0.36049408167121927,0
292,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,0.5128760157363981,0
293,182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,0.5772990431033002,0
294,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,0.06311738734559945,0
295,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,0.2638595406208662,0
296,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,0.35860433953512344,0
297,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,0.12700265905187536,1
298,168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,0.5708567403666099,0
299,290.35,0.0,96.18,168.08,9.41,961.18,865.0,3,0.2513185246267759,0
300,290.35,0.0,96.18,168.08,9.41,961.18,865.0,14,0.402927382363552,0
301,290.35,0.0,96.18,168.08,9.41,961.18,865.0,28,0.20423792512384054,1
302,290.35,0.0,96.18,168.08,9.41,961.18,865.0,56,0.5326324107955814,0
303,290.35,0.0,96.18,168.08,9.41,961.18,865.0,100,0.5810785273754917,0
304,277.05,0.0,97.39,160.6,11.83,973.9,875.61,3,0.25922108265044924,0
305,277.05,0.0,97.39,160.6,11.83,973.9,875.61,14,0.4927760311979247,0
306,277.05,0.0,97.39,160.6,11.83,973.9,875.61,28,0.5724887903932381,0
307,277.05,0.0,97.39,160.6,11.83,973.9,875.61,56,0.60676184095243,0
308,277.05,0.0,97.39,160.6,11.83,973.9,875.61,100,0.6641412839938841,0
309,295.71,0.0,95.64,171.54,8.87,955.14,859.2,3,0.2568159562954182,0
310,295.71,0.0,95.64,171.54,8.87,955.14,859.2,14,0.40988506931917756,0
311,295.71,0.0,95.64,171.54,8.87,955.14,859.2,28,0.46855297290796954,0
312,295.71,0.0,95.64,171.54,8.87,955.14,859.2,56,0.577900324692058,0
313,295.71,0.0,95.64,171.54,8.87,955.14,859.2,100,0.6193028569465202,0
314,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3,0.23285059011493064,0
315,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14,0.38652098472744767,0
316,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,28,0.3938222611623632,0
317,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56,0.520864471129894,0
318,251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100,0.5361542029583054,0
319,249.1,0.0,98.75,158.11,12.8,987.76,889.01,3,0.1623288494906286,0
320,249.1,0.0,98.75,158.11,12.8,987.76,889.01,14,0.32828256798776817,0
