,Iy,PF,e,dIf,If,ground_truth
94,3.5,0.74,0.26,0.349,0.4262295081967211,0
95,3.5,0.76,0.24,0.285,0.5020609159455178,1
96,3.5,0.78,0.22,0.29600000000000004,0.5109737727888466,1
97,3.5,0.8,0.2,0.306,0.367486338797814,0
98,3.5,0.82,0.18,0.21600000000000003,0.24453551912568283,0
99,3.5,0.84,0.16,0.225,0.256830601092896,0
100,3.5,0.86,0.14,0.142,0.632197862498865,1
101,3.5,0.88,0.12,0.151,0.15573770491803263,0
102,3.5,0.9,0.1,0.16,0.1680327868852458,0
103,3.5,0.92,0.08,0.045,0.010928961748633892,0
104,3.5,0.94,0.06,0.052000000000000005,0.5185515459430462,1
105,3.5,0.96,0.04,0.055999999999999994,-0.3960620361554805,1
106,3.5,0.98,0.02,0.055999999999999994,0.025956284153005216,0
107,3.5,1.0,0.0,0.055999999999999994,0.025956284153005216,0
108,3.6,0.66,0.34,0.457,0.573770491803278,0
109,3.6,0.68,0.32,0.47600000000000003,0.5997267759562839,0
110,3.8,0.92,0.08,0.11199999999999999,0.10245901639344224,0
111,3.8,0.94,0.06,0.11599999999999999,0.1079234972677594,0
112,3.8,0.96,0.04,0.11900000000000001,0.11202185792349728,0
113,3.8,0.98,0.02,0.11900000000000001,0.11202185792349728,0
114,3.8,1.0,0.0,0.11900000000000001,0.11202185792349728,0
115,3.7,0.92,0.08,0.12300000000000001,-0.22616606346898105,1
116,3.7,0.94,0.06,0.131,0.1284153005464479,0
117,3.6,0.92,0.08,0.14,0.14071038251366108,0
118,3.7,0.96,0.04,0.14,0.14071038251366108,0
119,3.7,0.98,0.02,0.14,0.14071038251366108,0
120,3.7,1.0,0.0,0.14,0.14071038251366108,0
121,3.6,0.94,0.06,0.146,0.14890710382513617,0
122,3.6,0.96,0.04,0.162,0.17076502732240395,0
123,3.6,0.98,0.02,0.162,0.17076502732240395,0
124,3.6,1.0,0.0,0.162,0.17076502732240395,0
125,3.8,0.86,0.14,0.2,0.22267759562841505,0
126,3.7,0.86,0.14,0.21,0.2363387978142073,0
127,3.8,0.88,0.12,0.21,0.2363387978142073,0
128,3.6,0.86,0.14,0.22,0.3577906969543327,1
129,3.7,0.88,0.12,0.221,0.25136612021857907,0
130,3.8,0.9,0.1,0.222,0.25273224043715814,0
131,3.6,0.88,0.12,0.235,0.2704918032786885,0
132,3.7,0.9,0.1,0.24100000000000002,0.2786885245901638,0
133,3.6,0.9,0.1,0.261,0.3060109289617483,0
134,3.8,0.82,0.18,0.287,0.34153005464480857,0
135,3.7,0.82,0.18,0.295,0.35245901639344246,0
136,3.8,0.84,0.16,0.299,0.3579234972677596,0
137,3.6,0.82,0.18,0.307,0.3688524590163931,0
138,3.7,0.84,0.16,0.311,0.37431693989071024,0
139,3.6,0.84,0.16,0.322,0.38934426229508134,0
140,3.8,0.76,0.24,0.345,0.42076502732240395,0
141,3.7,0.76,0.24,0.353,0.4316939890710383,0
142,3.6,0.76,0.24,0.361,0.44262295081967173,0
143,3.8,0.78,0.22,0.361,0.25100372203403,1
144,3.7,0.78,0.22,0.36700000000000005,0.45081967213114704,0
145,3.6,0.78,0.22,0.377,0.4644808743169395,0
146,3.8,0.8,0.2,0.38299999999999995,0.47267759562841527,0
147,3.7,0.8,0.2,0.395,0.4890710382513659,0
148,3.6,0.8,0.2,0.406,0.5040983606557374,0
149,3.8,0.72,0.28,0.41200000000000003,0.5122950819672127,0
150,3.7,0.72,0.28,0.419,0.5218579234972676,0
151,3.6,0.72,0.28,0.42700000000000005,0.5327868852459015,0
152,3.8,0.74,0.26,0.42700000000000005,0.5327868852459015,0
153,3.7,0.74,0.26,0.436,0.5450819672131144,0
154,3.9,0.66,0.34,0.444,0.5560109289617488,0
155,3.6,0.74,0.26,0.445,0.5573770491803278,0
156,3.8,0.66,0.34,0.449,0.5628415300546445,0
157,3.7,0.66,0.34,0.45299999999999996,0.5683060109289617,0
158,3.9,0.68,0.32,0.462,0.5806010928961747,0
159,3.8,0.68,0.32,0.466,0.5860655737704914,0
160,3.7,0.68,0.32,0.47,0.2188459070341786,1
161,3.9,0.7,0.3,0.486,0.6133879781420764,0
162,3.8,0.7,0.3,0.49200000000000005,0.6215846994535517,0
163,3.7,0.7,0.3,0.499,0.6311475409836065,0
164,3.6,0.7,0.3,0.505,0.9509900003347366,1
165,3.9,0.72,0.28,0.402,0.49863387978142026,0
166,3.9,0.74,0.26,0.418,0.5204918032786885,0
167,3.9,0.76,0.24,0.337,0.2842257070432321,1
168,3.9,0.78,0.22,0.353,0.4316939890710383,0
169,3.9,0.8,0.2,0.37200000000000005,0.4576502732240433,0
170,3.9,0.82,0.18,0.27399999999999997,0.32377049180327844,0
171,3.9,0.84,0.16,0.28800000000000003,0.3428961748633881,0
172,4.0,0.92,0.08,0.064,0.03688524590163911,0
173,4.0,0.94,0.06,0.07200000000000001,0.047814207650273,0
174,4.0,0.96,0.04,0.076,0.053278688524589946,0
175,4.0,0.98,0.02,0.076,0.053278688524589946,0
176,4.0,1.0,0.0,0.076,0.053278688524589946,0
177,3.9,0.92,0.08,0.095,0.07923497267759538,0
178,3.9,0.96,0.04,0.09699999999999999,0.08196721311475419,0
179,3.9,0.98,0.02,0.09699999999999999,0.08196721311475419,0
180,3.9,1.0,0.0,0.09699999999999999,0.08196721311475419,0
181,3.9,0.94,0.06,0.1,0.08606557377049162,0
182,4.1,0.92,0.08,0.162,0.17076502732240395,0
183,4.0,0.86,0.14,0.165,0.17486338797814183,0
184,4.1,0.94,0.06,0.168,0.1789617486338797,0
185,4.0,0.88,0.12,0.174,0.18715846994535523,0
186,4.0,0.9,0.1,0.183,0.19945355191256842,0
187,4.1,0.96,0.04,0.184,0.2008196721311475,0
188,4.1,0.98,0.02,0.184,0.2008196721311475,0
189,4.1,1.0,0.0,0.184,0.2008196721311475,0
190,3.9,0.86,0.14,0.19,0.20901639344262302,0
191,3.9,0.88,0.12,0.19699999999999998,0.21857923497267717,0
192,3.9,0.9,0.1,0.20199999999999999,0.2254098360655734,0
193,4.0,0.82,0.18,0.25,0.29098360655737676,0
194,4.1,0.86,0.14,0.263,0.3087431693989071,0
195,4.0,0.84,0.16,0.27,0.3183060109289615,0
196,4.1,0.88,0.12,0.278,0.3292349726775956,0
197,4.1,0.9,0.1,0.308,0.796627880603008,1
198,4.0,0.76,0.24,0.317,0.38251366120218555,0
199,4.0,0.78,0.22,0.33799999999999997,0.4112021857923496,0
200,4.0,0.8,0.2,0.36,0.44125683060109266,0
201,4.1,0.82,0.18,0.361,0.44262295081967173,0
202,4.1,0.84,0.16,0.37799999999999995,0.46584699453551903,0
203,4.0,0.72,0.28,0.38299999999999995,0.47267759562841527,0
204,4.0,0.74,0.26,0.406,0.20028784318515158,1
205,4.1,0.76,0.24,0.418,0.5204918032786885,0
206,4.0,0.66,0.34,0.43,0.5368852459016391,0
207,4.1,0.78,0.22,0.436,0.5450819672131144,0
208,4.0,0.68,0.32,0.455,0.5710382513661199,0
209,4.1,0.8,0.2,0.467,0.5874316939890705,0
210,4.0,0.7,0.3,0.479,0.6038251366120215,0
211,4.1,0.72,0.28,0.489,0.617486338797814,0
212,4.1,0.74,0.26,0.508,0.6434426229508199,0
213,4.2,0.66,0.34,0.517,0.6557377049180324,0
214,4.1,0.66,0.34,0.522,0.6625683060109286,0
215,4.2,0.68,0.32,0.534,0.5505645142302666,1
216,4.1,0.68,0.32,0.541,0.6885245901639341,0
217,4.1,0.7,0.3,0.5720000000000001,0.7308743169398901,0
218,4.3,0.92,0.08,0.133,0.1311475409836067,0
219,4.3,0.94,0.06,0.13699999999999998,0.1366120218579232,0
220,4.3,0.96,0.04,0.14,0.14071038251366108,0
221,4.3,0.98,0.02,0.14,0.5481498755766395,1
222,4.3,1.0,0.0,0.14,0.14071038251366108,0
223,4.2,0.92,0.08,0.145,0.1475409836065571,0
224,4.2,0.94,0.06,0.153,-0.040181057722401964,1
225,4.2,0.96,0.04,0.162,0.17076502732240395,0
226,4.2,0.98,0.02,0.162,0.009628499583099526,1
227,4.2,1.0,0.0,0.162,0.17076502732240395,0
228,4.3,0.86,0.14,0.235,0.2704918032786885,0
229,4.3,0.88,0.12,0.24600000000000002,-0.08832657471289007,1
230,4.2,0.86,0.14,0.249,0.2896174863387977,0
231,4.3,0.9,0.1,0.257,0.30054644808743136,0
232,4.2,0.88,0.12,0.26,0.30464480874316924,0
233,4.2,0.9,0.1,0.282,0.33469945355191233,0
234,4.3,0.82,0.18,0.34,0.2079117746534845,1
235,4.2,0.82,0.18,0.349,0.4262295081967211,0
236,4.3,0.84,0.16,0.354,0.43306010928961736,0
237,4.2,0.84,0.16,0.366,0.449453551912568,0
238,4.3,0.76,0.24,0.402,0.49863387978142026,0
239,4.2,0.76,0.24,0.41,0.9083683661909577,1
240,4.3,0.78,0.22,0.419,0.5218579234972676,0
241,4.2,0.78,0.22,0.425,0.5300546448087429,0
242,4.3,0.8,0.2,0.442,0.5532786885245897,0
243,4.2,0.8,0.2,0.455,0.5710382513661199,0
244,4.3,0.72,0.28,0.473,0.5956284153005462,0
245,4.2,0.72,0.28,0.48,0.6051912568306006,0
246,4.3,0.74,0.26,0.489,0.617486338797814,0
247,4.2,0.74,0.26,0.499,0.6311475409836065,0
248,4.3,0.66,0.34,0.512,0.6489071038251362,0
249,4.3,0.68,0.32,0.531,0.6748633879781416,0
250,4.3,0.7,0.3,0.5589999999999999,0.7131147540983604,0
251,4.2,0.7,0.3,0.565,0.9292906061235474,1
252,4.4,0.66,0.34,0.507,0.6420765027322399,0
253,4.4,0.68,0.32,0.526,0.6680327868852458,0
254,4.4,0.7,0.3,0.552,0.7035519125683056,0
255,4.4,0.72,0.28,0.462,0.5806010928961747,0
256,4.4,0.74,0.26,0.48,0.6051912568306006,0
257,4.4,0.76,0.24,0.39399999999999996,0.4877049180327868,0
258,4.4,0.78,0.22,0.41,0.5095628415300546,0
259,4.4,0.8,0.2,0.43,0.5368852459016391,0
260,4.4,0.82,0.18,0.326,0.3948087431693985,0
261,4.4,0.84,0.16,0.341,0.4153005464480872,0
262,4.4,0.86,0.14,0.222,0.25273224043715814,0
263,4.4,0.88,0.12,0.228,0.2609289617486339,0
264,4.4,0.9,0.1,0.231,0.26502732240437155,0
265,4.4,0.92,0.08,0.11599999999999999,0.1079234972677594,0
266,4.4,0.94,0.06,0.121,0.11475409836065542,0
267,4.4,0.96,0.04,0.11800000000000001,0.11065573770491799,0
268,4.4,0.98,0.02,0.11800000000000001,0.11065573770491799,0
269,4.4,1.0,0.0,0.11800000000000001,0.11065573770491799,0
270,4.5,0.66,0.34,0.49200000000000005,0.6215846994535517,0
271,4.5,0.68,0.32,0.519,1.0951376846241778,1
272,4.5,0.7,0.3,0.545,0.6939890710382512,0
273,4.5,0.72,0.28,0.442,0.5532786885245897,0
274,4.5,0.74,0.26,0.467,0.3958549804646087,1
275,4.5,0.76,0.24,0.37200000000000005,0.4576502732240433,0
276,4.5,0.78,0.22,0.395,0.4890710382513659,0
277,4.5,0.8,0.2,0.418,0.5204918032786885,0
278,4.5,0.82,0.18,0.301,0.36065573770491777,0
279,4.5,0.84,0.16,0.322,0.38934426229508134,0
280,4.5,0.86,0.14,0.188,0.20628415300546443,0
281,4.5,0.88,0.12,0.19699999999999998,0.21857923497267717,0
282,4.5,0.9,0.1,0.20600000000000002,0.06551331943511901,1
283,4.5,0.92,0.08,0.084,0.06420765027322384,0
284,4.5,0.94,0.06,0.092,0.07513661202185773,0
285,4.5,0.96,0.04,0.096,0.4191647051889642,1
286,4.5,0.98,0.02,0.096,0.08060109289617468,0
287,4.5,1.0,0.0,0.096,0.08060109289617468,0
288,4.6,0.66,0.34,0.59,0.755464480874317,0
289,4.6,0.68,0.32,0.61,0.7827868852459015,0
290,4.6,0.7,0.3,0.644,0.8292349726775956,0
291,4.6,0.72,0.28,0.556,0.7090163934426228,0
292,4.6,0.74,0.26,0.5760000000000001,0.7363387978142073,0
293,4.6,0.76,0.24,0.475,0.5983606557377048,0
294,4.6,0.78,0.22,0.494,0.6243169398907102,0
295,4.6,0.8,0.2,0.526,0.6680327868852458,0
296,4.6,0.82,0.18,0.406,0.5040983606557374,0
297,4.6,0.84,0.16,0.415,1.0021386050259324,1
298,4.6,0.87,0.13,0.308,0.3702185792349726,0
299,4.6,0.89,0.11,0.316,0.3811475409836065,0
300,4.6,0.91,0.09,0.18100000000000002,0.1967213114754096,0
301,4.6,0.93,0.07,0.188,-0.24491968667615183,1
302,4.6,0.95,0.05,0.207,0.23224043715846943,0
303,4.6,0.97,0.03,0.207,0.23224043715846943,0
304,4.6,0.99,0.01,0.207,0.23224043715846943,0
305,4.7,0.65,0.35,0.608,0.7800546448087429,0
306,4.7,0.67,0.33,0.595,0.7622950819672127,0
307,4.7,0.69,0.31,0.615,0.7896174863387977,0
308,4.7,0.71,0.29,0.536,0.6816939890710378,0
309,4.7,0.73,0.27,0.5539999999999999,0.7062841530054642,0
310,4.7,0.75,0.25,0.5870000000000001,0.7513661202185788,0
311,4.7,0.77,0.23,0.473,0.5956284153005462,0
312,4.7,0.79,0.21,0.49,0.6188524590163931,0
313,4.7,0.81,0.19,0.39,0.48224043715846965,0
314,4.7,0.83,0.17,0.396,0.49043715846994496,0
315,4.7,0.85,0.15,0.413,0.5136612021857923,0
316,4.7,0.87,0.13,0.28800000000000003,0.3428961748633881,0
317,4.7,0.89,0.11,0.297,0.3551912568306006,0
318,4.7,0.91,0.09,0.165,0.17486338797814183,0
319,4.7,0.93,0.07,0.17,0.1816939890710383,0
320,4.7,0.95,0.05,0.185,0.20218579234972656,0
321,4.7,0.97,0.03,0.185,0.20218579234972656,0
322,4.7,0.99,0.01,0.185,0.20218579234972656,0
323,4.8,0.65,0.35,0.622,0.7991803278688521,0
324,4.8,0.67,0.33,0.5920000000000001,0.7581967213114751,0
325,4.8,0.69,0.31,0.61,0.7827868852459015,0
326,4.8,0.71,0.29,0.527,0.6693989071038249,0
327,4.8,0.73,0.27,0.546,0.6953551912568303,0
328,4.8,0.75,0.25,0.573,0.7322404371584701,0
329,4.8,0.77,0.23,0.466,0.5860655737704914,0
330,4.8,0.79,0.21,0.47600000000000003,0.5997267759562839,0
331,4.8,0.81,0.19,0.37799999999999995,0.46584699453551903,0
332,4.8,0.83,0.17,0.386,0.4767759562841525,0
333,4.8,0.85,0.15,0.395,0.4890710382513659,0
334,4.8,0.87,0.13,0.27399999999999997,0.32377049180327844,0
335,4.8,0.89,0.11,0.278,0.3292349726775956,0
336,4.8,0.91,0.09,0.15,0.15437158469945356,0
337,4.8,0.93,0.07,0.157,0.16393442622950793,0
338,4.8,0.95,0.05,0.162,0.17076502732240395,0
339,4.8,0.97,0.03,0.162,0.17076502732240395,0
340,4.8,0.99,0.01,0.162,0.17076502732240395,0
341,4.9,0.65,0.35,0.637,0.8196721311475408,0
342,4.9,0.67,0.33,0.585,0.7486338797814203,0
343,4.9,0.69,0.31,0.605,0.7759562841530052,0
344,4.9,0.71,0.29,0.517,0.6557377049180324,0
345,4.9,0.73,0.27,0.536,0.8263148585093885,1
346,4.9,0.75,0.25,0.5589999999999999,0.7131147540983604,0
347,4.9,0.77,0.23,0.45299999999999996,0.5683060109289617,0
348,4.9,0.79,0.21,0.462,0.5806010928961747,0
349,4.9,0.81,0.19,0.365,0.07597406759138148,1
350,4.9,0.83,0.17,0.373,0.4590163934426228,0
351,4.9,0.85,0.15,0.37799999999999995,0.46584699453551903,0
352,4.9,0.87,0.13,0.253,0.29508196721311464,0
353,4.9,0.89,0.11,0.26,-0.14356261919153757,1
354,4.9,0.91,0.09,0.134,0.13251366120218577,0
355,4.9,0.93,0.07,0.14,0.14071038251366108,0
356,4.9,0.95,0.05,0.14,0.14071038251366108,0
357,4.9,0.97,0.03,0.14,0.14071038251366108,0
358,4.9,0.99,0.01,0.14,0.14071038251366108,0
359,5.0,0.65,0.35,0.6509999999999999,0.83879781420765,0
360,5.0,0.67,0.33,0.573,0.7322404371584701,0
361,5.0,0.69,0.31,0.601,0.770491803278688,0
362,5.0,0.71,0.29,0.49200000000000005,0.6215846994535517,0
363,5.0,0.73,0.27,0.519,0.658469945355191,0
364,5.0,0.75,0.25,0.545,0.3586130252741108,1
365,5.0,0.77,0.23,0.43,0.5368852459016391,0
366,5.0,0.79,0.21,0.442,0.5532786885245897,0
367,5.0,0.81,0.19,0.33799999999999997,0.4112021857923496,0
368,5.0,0.83,0.17,0.349,0.12315683835499103,1
369,5.0,0.85,0.15,0.36,0.44125683060109266,0
370,5.0,0.87,0.13,0.21600000000000003,0.24453551912568283,0
371,5.0,0.89,0.11,0.225,0.12256922026574449,1
372,5.0,0.91,0.09,0.1,0.08606557377049162,0
373,5.0,0.93,0.07,0.109,0.09836065573770503,0
374,5.0,0.95,0.05,0.11699999999999999,0.2576912958336448,1
375,5.0,0.97,0.03,0.11699999999999999,0.10928961748633848,0
376,5.0,0.99,0.01,0.11699999999999999,0.10928961748633848,0
377,5.1,0.65,0.35,0.6659999999999999,0.8592896174863383,0
378,5.1,0.67,0.33,0.6679999999999999,0.8620218579234973,0
379,5.1,0.69,0.31,0.69,0.8920765027322404,0
380,5.1,0.71,0.29,0.605,0.4406327967701119,1
381,5.1,0.73,0.27,0.615,0.7896174863387977,0
382,5.1,0.75,0.25,0.637,0.8196721311475408,0
383,5.1,0.77,0.23,0.536,0.6816939890710378,0
384,5.1,0.79,0.21,0.546,0.6953551912568303,0
385,5.1,0.81,0.19,0.436,0.5450819672131144,0
386,5.1,0.83,0.17,0.45399999999999996,0.5696721311475408,0
387,5.1,0.85,0.15,0.48700000000000004,0.6147540983606554,0
388,5.1,0.87,0.13,0.33799999999999997,0.8626909369216232,1
389,5.1,0.89,0.11,0.34700000000000003,0.42349726775956253,0
390,5.1,0.91,0.09,0.20800000000000002,-0.24791981363138293,1
391,5.1,0.93,0.07,0.222,0.25273224043715814,0
392,5.1,0.95,0.05,0.252,0.29371584699453535,0
393,5.1,0.97,0.03,0.252,0.29371584699453535,0
394,5.1,0.99,0.01,0.252,0.29371584699453535,0
395,5.2,0.65,0.35,0.682,0.881147540983606,0
396,5.2,0.67,0.33,0.66,0.8510928961748634,0
397,5.2,0.69,0.31,0.679,0.8770491803278688,0
398,5.2,0.71,0.29,0.595,0.7622950819672127,0
399,5.2,0.73,0.27,0.603,0.7732240437158471,0
400,5.2,0.75,0.25,0.622,0.7991803278688521,0
401,5.2,0.77,0.23,0.524,0.6653005464480872,0
402,5.2,0.79,0.21,0.536,0.6816939890710378,0
403,5.2,0.81,0.19,0.424,0.5286885245901638,0
404,5.2,0.83,0.17,0.43700000000000006,0.5464480874316939,0
405,5.2,0.85,0.15,0.46299999999999997,0.5819672131147537,0
406,5.2,0.87,0.13,0.32,0.3866120218579232,0
407,5.2,0.89,0.11,0.331,0.40163934426229475,0
408,5.2,0.91,0.09,0.192,0.21174863387978116,0
409,5.2,0.93,0.07,0.201,0.22404371584699434,0
410,5.2,0.95,0.05,0.223,0.25409836065573765,0
411,5.2,0.97,0.03,0.223,0.25409836065573765,0
412,5.2,0.99,0.01,0.223,0.25409836065573765,0
413,5.3,0.65,0.35,0.6970000000000001,0.9016393442622948,0
414,5.3,0.67,0.33,0.6559999999999999,0.8456284153005462,0
415,5.3,0.69,0.31,0.6679999999999999,0.8620218579234973,0
416,5.3,0.71,0.29,0.585,0.7486338797814203,0
417,5.3,0.73,0.27,0.595,0.7622950819672127,0
418,5.3,0.75,0.25,0.608,0.7800546448087429,0
419,5.3,0.77,0.23,0.513,0.6502732240437157,0
420,5.3,0.79,0.21,0.527,0.6693989071038249,0
421,5.3,0.81,0.19,0.41100000000000003,0.5109289617486337,0
422,5.3,0.83,0.17,0.423,0.5273224043715847,0
423,5.3,0.85,0.15,0.43799999999999994,0.547814207650273,0
424,5.3,0.87,0.13,0.305,0.36612021857923494,0
425,5.3,0.89,0.11,0.315,0.3797814207650274,0
426,5.3,0.91,0.09,0.17600000000000002,0.18989071038251337,0
427,5.3,0.93,0.07,0.185,0.20218579234972656,0
428,5.3,0.95,0.05,0.195,0.21584699453551903,0
429,5.3,0.97,0.03,0.195,0.21584699453551903,0
430,5.3,0.99,0.01,0.195,-0.18646586847797608,1
431,5.4,0.65,0.35,0.713,0.9234972677595625,0
432,5.4,0.67,0.33,0.647,0.8333333333333333,0
433,5.4,0.69,0.31,0.657,0.38174008584490726,1
434,5.4,0.71,0.29,0.575,0.7349726775956282,0
435,5.4,0.73,0.27,0.585,0.7486338797814203,0
436,5.4,0.75,0.25,0.593,0.7595628415300546,0
437,5.4,0.77,0.23,0.499,0.6311475409836065,0
438,5.4,0.79,0.21,0.517,0.6557377049180324,0
439,5.4,0.81,0.19,0.39799999999999996,0.49316939890710354,0
440,5.4,0.83,0.17,0.40700000000000003,0.5054644808743165,0
441,5.4,0.85,0.15,0.414,0.5150273224043713,0
442,5.4,0.87,0.13,0.28600000000000003,0.3401639344262295,0
443,5.4,0.89,0.11,0.3,0.3592896174863387,0
444,5.4,0.91,0.09,0.159,0.16666666666666652,0
445,5.4,0.93,0.07,0.165,0.17486338797814183,0
446,5.4,0.95,0.05,0.166,0.1762295081967209,0
447,5.4,0.97,0.03,0.166,0.1762295081967209,0
448,5.4,0.99,0.01,0.166,0.1762295081967209,0
449,5.5,0.65,0.35,0.728,0.9439890710382512,0
450,5.5,0.67,0.33,0.629,0.8087431693989073,0
451,5.5,0.69,0.31,0.644,0.8292349726775956,0
452,5.5,0.71,0.29,0.552,0.7035519125683056,0
453,5.5,0.73,0.27,0.565,0.7213114754098362,0
454,5.5,0.75,0.25,0.579,0.7404371584699454,0
455,5.5,0.77,0.23,0.474,0.5969945355191257,0
456,5.5,0.79,0.21,0.499,0.6311475409836065,0
457,5.5,0.81,0.19,0.366,0.449453551912568,0
458,5.5,0.83,0.17,0.377,0.4644808743169395,0
459,5.5,0.85,0.15,0.389,0.4808743169398906,0
460,5.5,0.87,0.13,0.25,-0.1258481391878089,1
461,5.5,0.89,0.11,0.27,0.3183060109289615,0
462,5.5,0.91,0.09,0.121,0.11475409836065542,0
