,AT,V,AP,RH,PE,ground_truth
63,33.4,70.8,1009.17,57.01,0.16158940397350996,0
64,31.92,68.3,1015.58,41.55,0.1299337748344369,0
65,26.87,74.99,1002.48,71.91,0.23205298013245024,0
66,5.23,40.78,1025.13,92.74,0.8325827814569537,0
67,15.72,41.76,1023.07,66.95,0.5553642384105961,0
68,17.74,50.88,1015.56,89.78,0.49602649006622457,0
69,27.13,59.54,1004.33,73.27,0.2392052980132453,0
70,25.82,66.49,1013.2,60.32,0.1866225165562918,0
71,34.2,68.14,1002.7,56.09,0.08993377483443687,0
72,19.13,68.61,1010.65,94.92,0.3765562913907283,0
73,11.77,41.06,1021.45,76.63,0.7366887417218546,0
74,10.25,41.46,1018.67,84.41,0.7817218543046351,0
75,23.82,48.92,1010.48,44.45,0.3521854304635763,0
76,30.1,66.25,1009.38,65.41,0.19509933774834476,0
77,29.92,69.75,1009.12,67.15,0.28132450331125813,0
78,29.63,66.75,1018.08,58.46,0.1721854304635757,0
79,30.61,77.17,1009.49,73.19,0.13509933774834426,0
80,16.18,50.88,1014.06,100.09,0.4619867549668868,0
81,31.66,73.91,1004.49,68.13,0.14569536423841,0
82,29.14,61.5,1009.64,39.95,0.2317880794701983,0
83,18.4,43.96,1012.4,77.81,0.5876821192052981,0
84,15.86,38.62,1016.65,67.51,0.5605298013245035,0
85,6.31,42.07,1004.61,77.74,0.8345695364238406,0
86,23.4,72.99,1009.48,88.82,0.241721854304636,0
87,33.62,77.17,1009.38,63.71,0.14264900662251634,0
88,6.89,43.65,1019.87,72.77,0.8442384105960263,0
89,27.41,69.98,1008.51,65.49,0.1507284768211914,0
90,26.37,54.5,1014.48,66.31,0.41748344370860924,0
91,26.58,59.39,1014.49,65.87,0.5930002528891682,1
92,15.25,43.02,1012.04,41.43,0.6221192052980138,0
93,21.24,41.67,1012.6,49.27,0.523841059602649,0
94,24.98,58.05,1011.69,69.97,0.35615894039735085,0
95,26.63,64.44,1012.66,61.19,0.28794701986754934,0
96,18.87,52.08,1005.25,99.19,0.3887417218543048,0
97,5.12,40.78,1025.45,96.88,0.8082119205298008,0
98,31.1,71.32,1008.09,45.87,0.2288741721854306,0
99,7.91,39.96,1023.57,88.44,0.7319205298013243,0
100,14.97,58.2,1019.52,81.13,0.5088741721854309,0
101,28.92,61.02,1011.19,56.13,0.2185430463576159,0
102,22.92,61.9,1013.27,78.32,0.3419867549668876,0
103,12.55,38.91,1012.58,75.44,0.7164238410596031,0
104,9.38,41.44,1015.09,86.8,0.8172185430463577,0
105,10.28,41.46,1018.44,85.23,0.7867549668874174,0
106,30.31,77.24,1008.02,67.84,0.19894039735099334,0
107,25.34,71.06,1007.74,92.52,-0.1019143075763912,1
108,30.47,70.02,1009.65,62.03,0.20476821192053052,0
109,20.18,56.53,1020.3,77.1,0.4487417218543044,0
110,21.31,46.97,1014.08,62.57,0.4701986754966887,0
111,22.1,74.87,1009.4,85.78,0.298940397350993,0
112,20.09,63.94,1020.82,74.16,0.38688741721854303,0
113,22.36,58.79,1016.69,73.6,0.3377483443708611,0
114,9.43,37.14,1013.03,74.99,0.7060927152317875,0
115,28.86,49.3,1003.93,52.85,0.20516556291390753,0
116,23.25,70.32,1009.28,86.52,0.23443708609271496,0
117,22.7,60.84,1019.15,71.48,0.24278145695364195,0
118,21.3,59.39,1013.83,84.53,0.7076389360917706,1
119,19.94,44.9,1008.52,74.69,0.5193377483443715,0
120,14.97,43.67,1011.13,87.33,0.5997350993377486,0
121,13.83,40.78,1024.85,73.08,0.5111258278145696,0
122,23.39,71.25,1005.22,93.7,0.20423841059602665,0
123,21.48,47.43,1006.88,63.54,0.3833112582781455,0
124,22.63,58.41,1013.69,90.32,0.33337748344370866,0
125,20.01,45.09,1014.21,38.19,0.44635761589403966,0
126,20.52,43.79,1015.9,68.1,0.5784105960264903,0
127,13.58,49.83,1008.9,86.8,0.6034437086092712,0
128,14.38,44.84,1024.59,81.68,0.6800000000000006,0
129,28.53,69.84,1004.46,68.03,-0.027464946308177862,1
130,13.89,35.71,1016.4,65.49,0.6394701986754967,0
131,25.93,69.34,1008.91,79.43,0.18304635761589338,0
132,17.84,61.27,1020.1,70.68,0.4544370860927147,0
133,6.28,41.06,1020.96,90.91,0.9209271523178808,0
134,8.16,39.64,1011.21,85.56,0.814834437086092,0
135,18.61,67.71,1004.07,84.49,0.3087417218543047,0
136,16.23,43.72,1009.96,83.01,0.49854304635761526,0
137,8.66,41.01,1022.51,98.55,0.6874172185430467,0
138,19.53,66.54,1013.72,81.46,0.4096688741721852,0
139,10.17,40.46,1018.54,68.21,0.6631788079470198,0
140,6.48,40.27,1010.55,82.12,0.879735099337748,0
141,12.69,40.75,1016.05,82.92,0.6943046357615899,0
142,23.77,61.87,1009.8,54.83,0.3372185430463581,0
143,14.43,43.5,1021.86,83.14,0.613509933774834,0
144,28.25,57.19,1007.99,67.9,0.22158940397351046,0
145,12.26,39.96,1011.79,79.06,0.6703311258278148,0
146,14.55,42.74,1027.29,66.64,0.4968211920529795,0
147,24.57,51.95,1005.8,70.07,0.36940397350993326,0
148,10.25,41.26,1007.44,98.08,0.7386754966887414,0
149,21.96,51.43,1007.28,89.96,0.29947019867549685,0
150,9.82,39.64,1010.79,69.22,0.7638410596026493,0
151,18.58,44.6,1016.61,48.15,0.5139072847682122,0
152,20.57,44.9,1008.39,62.69,0.47576158940397395,0
153,8.61,41.04,1024.81,95.6,0.3423319098484906,1
154,9.99,43.52,1022.95,99.67,0.7070198675496684,0
155,13.97,52.05,1012.05,85.36,0.5745695364238408,0
156,16.76,43.67,1011.27,70.55,0.5586754966887417,0
157,25.58,47.01,1014.5,63.53,0.45205298013245,0
158,17.34,46.48,1007.18,83.15,0.42119205298013274,0
159,19.13,66.86,1012.95,71.24,0.8188278535171026,1
160,12.75,40.64,1020.44,83.17,0.6181456953642384,0
161,29.46,49.3,1003.88,54.1,0.21337748344370855,0
162,15.59,52.75,1024.3,59.93,0.5113907284768215,0
163,14.2,43.02,1012.18,57.07,0.6676821192052982,0
164,14.05,40.35,1011.52,66.21,0.7321854304635762,0
165,32.35,77.95,1014.76,60.88,0.16503311258278153,0
166,21.41,56.9,1007.03,79.41,0.2801324503311262,0
167,10.61,37.5,1008.8,100.13,0.6972185430463576,0
168,19.13,40.79,1004.47,91.7,0.4976158940397353,0
169,17.28,44.06,1018.15,66.93,0.5535099337748344,0
170,24.79,50.78,1008.78,61.88,0.33165562913907287,0
171,28.66,50.05,1006.08,47.74,0.20768211920529822,0
172,12.91,41.16,1011.9,89.19,0.6947019867549669,0
173,17.32,43.7,1015.13,61.66,0.5859602649006623,0
174,18.74,59.21,1018.3,91.55,0.39086092715231757,0
175,26.69,70.36,1006.82,68.29,0.1957615894039737,0
176,12.28,40.55,1005.72,98.56,0.6915231788079472,0
177,14.46,44.78,1007.64,67.03,0.5172185430463578,0
178,30.54,70.17,999.42,64.32,0.19019867549668845,0
179,27.58,66.48,1004.82,51.23,0.19973509933774825,0
180,32.17,73.21,1001.43,69.86,0.137483443708609,0
181,26.23,59.87,1012.93,66.62,0.3562913907284768,0
182,11.69,35.76,1019.02,55.6,0.6815894039735104,0
183,14.73,39.82,1012.67,80.82,0.6642384105960266,0
184,12.36,48.04,1012.8,93.59,0.6372185430463579,0
185,9.52,40.96,1023.48,86.49,0.838807947019867,0
186,27.32,73.42,1012.07,86.3,0.16529801324503346,0
187,23.81,73.17,1012.13,86.13,0.23642384105960268,0
188,7.92,42.28,1008.55,81.68,0.8541721854304631,0
189,23.58,58.82,1009.68,81.38,-0.01603779536162875,1
190,20.78,60.84,1018.66,80.4,0.338543046357616,0
191,19.68,68.28,1002.62,71.57,0.426622516556292,0
192,14.12,40.92,1022.46,73.28,0.5231788079470201,0
193,22.97,62.4,1010.25,75.18,0.33165562913907287,0
194,6.89,39.37,1020.21,74.17,0.8826490066225166,0
195,19.98,56.53,1020.22,73.53,0.4586754966887412,0
196,21.71,60.27,1015.74,89.76,0.2772185430463576,0
197,23.02,59.21,1011.74,83.18,0.26807947019867573,0
198,27.71,69.51,1009.65,58.38,0.1957615894039737,0
199,10.46,37.5,1013.12,76.74,0.6874172185430467,0
200,27.18,62.66,1009.89,52.83,0.290066225165563,0
201,25.56,50.05,1005.67,69.29,0.29443708609271546,0
202,19.69,39.72,1001.49,60.34,0.48066225165562937,0
203,31.37,76.86,997.34,62.94,0.14264900662251634,0
204,14.17,41.67,1013.4,72.77,0.677615894039735,0
205,15.6,43.71,1024.88,80.37,0.5705960264900662,0
206,25.3,71.58,1010.18,87.36,0.18158940397351042,0
207,7.09,39.37,1020.07,73.26,0.8839735099337744,0
208,6.07,41.14,1027.57,86.98,0.7937748344370856,0
209,9.86,38.38,1018.22,85.35,0.7854304635761586,0
210,14.73,40.35,1011.15,65.2,0.6592052980132443,0
211,31.32,74.33,1012.92,36.48,0.12331125827814571,0
212,6.14,38.5,1012.4,75.35,0.9139072847682117,0
213,27.92,69.23,1013.21,44.43,0.20344370860927175,0
214,25.63,58.86,1014.86,52.75,0.31231788079470135,0
215,16.37,36.99,1006.37,90.11,0.5761589403973506,0
216,28.31,65.71,1014.67,59.29,0.3576158940397347,0
217,24.44,69.84,1005.34,80.37,0.13298013245033147,0
218,11.33,41.5,1013.58,88.7,0.7251655629139071,0
219,23.87,63.94,1019.02,44.28,0.3291390728476822,0
220,21.14,48.78,1020.39,86.2,0.3985430463576165,0
221,22.24,60.07,1015.93,62.25,0.3427814569536425,0
222,23.07,70.47,1008.64,83.37,0.2487417218543051,0
223,25.95,59.14,1016.42,67.03,0.24105960264900617,0
224,16.44,43.96,1013.66,76.31,0.6398675496688737,0
225,20.66,41.54,1014.68,79.7,0.5468874172185432,0
226,15.01,39.52,1017.53,72.0,0.6325827814569536,0
227,20.51,63.86,1020.65,75.36,0.35655629139072875,0
228,24.1,52.84,1006.47,47.58,0.32357615894039693,0
229,9.38,40.46,1019.29,75.77,0.7131125827814575,0
230,27.49,71.94,1008.25,68.29,0.10609271523178787,0
231,32.84,68.14,1003.59,43.88,0.06516556291390696,0
232,20.83,44.78,1008.51,35.9,0.5343046357615897,0
233,28.69,67.25,1017.71,44.6,0.21125827814569487,0
234,9.35,44.03,1011.02,88.11,0.74158940397351,0
235,17.37,41.23,998.79,68.44,0.540662251655629,0
236,14.84,41.48,1017.26,63.42,0.5303311258278143,0
237,27.88,68.94,1007.68,75.68,0.1957615894039737,0
238,17.83,43.72,1008.64,78.72,0.4450331125827818,0
239,7.64,42.28,1008.46,84.29,0.854569536423841,0
240,25.67,74.78,1010.24,68.87,0.2678145695364238,0
241,23.1,51.3,1011.93,80.05,0.4226490066225166,0
242,27.13,69.45,1013.9,51.16,0.2969877596736276,1
243,26.95,70.8,1009.73,82.95,0.21907284768211888,0
244,19.4,42.44,1013.19,58.63,0.5231788079470201,0
245,13.5,44.92,1023.87,87.17,0.6435761589403972,0
246,11.97,41.04,1026.42,70.75,0.6430463576158942,0
247,18.11,58.95,1016.61,89.17,0.4507284768211921,0
248,24.1,71.29,1007.96,67.56,0.29854304635761597,0
249,20.29,65.27,1013.17,74.94,0.3345695364238406,0
250,21.82,65.27,1013.86,72.81,0.35986754966887435,0
251,29.45,75.6,1018.12,50.68,0.22582781456953605,0
252,10.87,38.38,1020.85,69.78,0.7519205298013238,0
253,17.36,39.53,1008.28,68.87,0.4809271523178804,0
254,24.97,58.95,1017.19,56.24,0.26185430463576154,0
255,13.72,45.09,1012.95,87.41,0.6090066225165565,0
256,26.49,61.86,1012.55,74.24,0.26423841059602626,0
257,8.25,41.26,1020.59,91.84,0.7272847682119208,0
258,12.8,44.9,1007.58,66.6,0.6184105960264903,0
259,17.08,40.12,1012.17,81.5,0.49735099337748334,0
260,31.4,71.06,1008.44,74.77,0.17324503311258255,0
261,8.26,44.71,1020.85,68.82,0.8600000000000003,0
262,21.22,59.15,1014.68,59.71,0.40662251655629067,0
263,26.1,62.91,1012.44,60.91,0.3415894039735097,0
264,19.91,51.19,1008.0,90.23,0.3837086092715234,0
265,14.56,40.69,1015.48,73.73,0.6496688741721854,0
266,10.22,41.74,1022.65,83.58,0.7781456953642385,0
267,29.12,67.83,1008.05,46.86,0.16158940397350996,0
268,16.97,39.16,1005.7,69.13,0.507682119205298,0
269,26.19,49.3,1003.69,65.88,0.2631788079470194,0
270,23.65,66.05,1019.6,78.21,0.29986754966887386,0
271,29.53,70.94,1007.22,70.68,0.16119205298013206,0
272,19.69,56.65,1020.84,72.14,0.4610596026490068,0
273,33.71,69.98,1013.09,42.62,0.15536423841059577,0
274,32.14,75.08,1005.35,49.92,0.2511258278145698,0
275,29.28,77.17,1009.4,76.3,0.1705960264900659,0
276,7.01,37.8,1021.47,62.84,0.8435761589403974,0
277,30.47,68.24,1009.55,64.98,0.10172185430463543,0
278,29.13,47.93,1002.5,49.1,0.20331125827814578,0
279,11.86,39.85,1013.0,66.92,0.7686092715231787,0
280,26.16,52.36,1013.62,58.52,0.4347019867549671,0
281,10.56,39.13,1010.19,87.12,0.5679470198675496,0
282,8.58,40.72,1022.04,87.55,0.8039735099337744,0
283,14.26,40.92,1022.07,73.96,0.5313907284768211,0
284,23.48,73.67,1007.07,88.49,0.22423841059602623,0
285,5.54,45.87,1008.69,95.91,0.7650331125827812,0
286,16.98,43.99,1021.65,81.17,0.4743046357615892,0
287,30.08,67.25,1017.6,53.09,0.1821192052980134,0
288,10.63,39.61,1020.0,72.42,0.7513907284768209,0
289,30.36,74.87,1008.96,61.87,0.19933774834437124,0
290,29.56,70.4,1006.49,82.95,0.1667549668874173,0
291,19.94,56.53,1020.48,76.43,0.44423841059602687,0
292,27.55,64.96,999.73,57.34,0.14662251655629088,0
293,31.44,79.74,1006.95,56.99,0.15139072847682122,0
294,25.35,74.33,1015.29,77.84,0.20397350993377472,0
295,4.11,38.44,1015.9,81.79,0.8978807947019867,0
296,30.59,70.04,1010.28,50.56,0.11748344370860941,0
297,14.04,48.79,1017.62,75.25,0.580529801324503,0
298,15.47,44.9,1021.59,81.74,0.6006622516556295,0
299,8.67,40.77,1011.81,89.4,0.7810596026490071,0
300,10.53,37.5,1008.55,99.91,0.6895364238410595,0
301,7.99,41.38,1021.95,78.77,0.8915231788079465,0
302,22.29,45.01,1012.4,51.58,0.3817218543046357,0
303,9.06,36.3,1015.14,58.71,0.7565562913907282,0
304,10.05,37.14,1012.64,75.97,0.7139072847682124,0
305,20.07,49.21,1012.34,56.8,0.4501986754966891,0
306,30.65,71.98,1004.92,63.39,0.1270198675496692,0
307,14.38,40.73,1017.48,90.64,0.5658278145695368,0
308,27.76,71.97,1008.53,86.97,0.1825165562913913,0
309,16.7,40.56,1019.04,50.9,0.669933774834437,0
310,5.35,35.57,1027.12,80.81,0.9058278145695358,0
311,11.57,41.38,1021.71,61.49,0.7109933774834438,0
312,30.57,73.03,1013.75,73.68,0.22728476821192078,0
313,16.0,40.66,1016.12,89.23,0.48821192052980145,0
314,15.6,41.04,1025.48,64.43,0.49311258278145687,0
315,22.12,47.93,1005.5,84.47,0.3066225165562919,0
316,21.33,58.46,1016.17,79.73,0.331258278145695,0
317,23.65,59.92,1010.19,89.53,0.21827814569536397,0
318,6.8,39.37,1020.24,73.29,0.8883443708609269,0
319,31.35,71.32,1005.99,62.35,0.18768211920529776,0
320,23.99,68.12,1012.92,70.68,0.554074952781496,1
321,26.53,54.2,1012.9,66.73,0.26092715231788066,0
322,31.59,62.7,1009.3,50.16,0.2956291390728474,0
323,24.06,69.94,1005.47,60.46,0.22013245033112572,0
324,27.28,44.89,1009.02,49.9,0.2871523178807944,0
325,23.69,71.97,1009.62,93.03,0.24317880794701985,0
326,11.46,39.1,1010.17,100.15,0.6660927152317884,0
327,22.61,49.3,1003.51,83.02,0.2847682119205297,0
328,21.84,45.09,1013.94,46.11,0.4055629139072847,0
329,9.2,39.82,1013.19,91.25,0.8295364238410592,0
330,17.75,49.25,1020.86,63.67,0.4523178807947019,0
331,7.53,43.65,1018.58,64.85,0.7799999999999994,0
332,16.76,45.09,1014.28,57.71,0.5087417218543049,0
333,22.69,65.12,1016.35,72.02,0.3529801324503312,0
334,11.91,44.45,1021.39,84.49,0.6127152317880791,0
335,26.63,61.47,1008.18,69.0,0.3165562913907287,0
336,6.72,39.85,1011.84,84.66,0.911655629139072,0
337,9.44,43.99,1020.31,98.06,0.7251655629139071,0
338,18.32,45.0,1022.67,46.38,0.677748344370861,0
339,18.31,62.1,1020.38,79.02,0.46331125827814557,0
340,26.57,44.57,1007.76,50.39,0.33417218543046356,0
341,34.33,69.05,1000.89,37.9,0.13642384105960303,0
342,14.85,40.8,1025.38,53.29,0.6823841059602644,0
343,29.33,64.84,1010.76,53.32,0.30317880794701946,0
344,8.77,40.46,1019.68,77.84,0.7250331125827811,0
345,11.35,38.91,1017.93,83.45,0.269091212983532,1
346,21.38,44.05,1005.69,81.66,0.33708609271523127,0
347,4.88,40.27,1012.66,74.51,0.9407947019867553,0
348,26.66,64.27,1012.83,58.88,0.23324503311258304,0
349,13.04,45.09,1013.0,87.68,0.6249006622516555,0
350,29.47,71.32,1008.07,67.0,0.22357615894039728,0
351,18.91,56.9,1006.98,84.07,0.37059602649006607,0
352,24.86,44.05,1005.69,66.65,0.3568211920529798,0
353,9.42,41.4,1029.6,87.43,0.76635761589404,0
354,12.75,42.34,1018.17,94.67,0.5984105960264898,0
355,21.32,49.02,1008.81,85.81,0.33629139072847636,0
356,24.26,67.69,1008.48,66.74,0.22701986754966885,0
357,20.01,43.77,1012.13,65.53,0.4688741721854308,0
358,21.35,59.04,1012.28,95.71,0.3386754966887411,0
359,17.43,63.09,1019.87,92.77,0.3854304635761592,0
360,27.86,65.18,1012.87,55.53,0.2119205298013247,0
361,20.74,59.8,1015.46,76.39,0.43350993377483427,0
362,27.73,67.69,1007.47,59.42,0.15178807947019912,0
363,9.53,41.44,1018.01,80.09,0.8154966887417219,0
364,28.5,79.74,1006.75,87.09,0.16980132450331098,0
365,21.39,52.3,1009.2,79.77,0.35245033112582824,0
366,14.54,46.18,1015.29,94.48,0.5664900662251648,0
367,28.01,65.34,1014.68,46.86,0.2716556291390724,0
368,30.51,70.94,1007.64,59.42,0.14105960264900652,0
369,21.63,60.84,1018.16,77.53,0.33999999999999986,0
370,26.39,71.25,999.8,89.12,0.13350993377483444,0
371,13.84,41.26,1020.92,74.74,0.5589403973509928,0
372,17.27,43.52,1021.37,76.73,0.5274172185430457,0
373,21.89,58.05,1011.31,85.71,0.2847682119205297,0
374,24.02,64.63,1020.49,55.17,0.3894039735099337,0
375,31.92,75.33,1001.81,61.97,0.21350993377483451,0
376,12.97,49.83,1008.69,91.49,0.4213245033112578,0
377,15.89,43.96,1014.02,75.24,0.6237086092715236,0
378,9.25,41.26,1020.51,91.21,0.710066225165563,0
379,15.99,43.5,1021.34,73.22,0.5356291390728476,0
380,9.06,39.66,1019.64,76.98,0.7850331125827807,0
381,14.48,44.06,1018.73,75.88,0.6251655629139066,0
382,27.15,59.21,1013.49,51.71,0.26503311258278117,0
383,21.68,64.15,1021.09,70.88,0.4511258278145691,0
384,28.16,61.47,1009.19,62.53,0.2943046357615895,0
385,34.33,74.34,1001.74,42.75,0.2052980132450326,0
386,31.98,64.05,1010.49,58.01,0.25562913907284734,0
387,15.21,43.56,1012.92,56.61,0.6190728476821192,0
388,13.56,42.34,1017.95,93.83,0.7494235255444559,1
389,10.32,42.02,998.27,99.12,0.6874172185430467,0
390,22.46,58.49,1011.5,70.54,0.37350993377483377,0
391,29.3,68.08,1011.23,56.23,0.18344370860927128,0
392,22.3,44.57,1008.48,67.58,0.39046357615894056,0
393,21.91,70.32,1009.17,90.57,0.2520529801324507,0
394,10.95,43.8,1022.61,63.46,0.7011920529801321,0
395,24.96,68.12,1011.27,70.22,0.22993377483443744,0
396,5.91,39.33,1010.18,95.53,0.943443708609272,0
397,5.25,40.07,1019.48,67.7,0.9929801324503309,0
398,21.47,60.93,1006.46,87.83,0.29788079470198703,0
399,10.16,39.3,1019.71,81.21,0.8010596026490067,0
400,17.29,44.06,1016.24,77.56,0.5446357615894035,0
401,17.46,40.22,1006.7,91.96,0.11373345846529159,1
402,11.56,40.43,1025.48,74.75,0.9176158940397352,0
403,7.51,41.01,1024.61,97.41,0.7596026490066228,0
404,17.08,38.58,1015.41,73.42,0.5460927152317883,0
405,9.27,42.02,1004.29,95.05,0.7241059602649011,0
406,21.3,48.92,1010.92,65.09,0.3659602649006617,0
407,8.51,40.81,1015.54,83.16,0.5058140804751985,1
408,12.77,41.5,1014.13,86.8,0.6678145695364242,0
409,25.04,65.48,1017.66,57.08,0.2736423841059601,0
410,21.83,41.1,1001.91,41.79,0.9186913400660041,1
411,15.92,41.79,1006.24,79.42,0.5088741721854309,0
412,29.97,69.14,1007.92,66.74,0.1796026490066227,0
413,9.8,41.82,1032.98,67.55,0.7080794701986761,0
414,9.01,38.56,1016.67,63.61,0.8226490066225169,0
415,24.71,61.9,1013.78,85.82,0.3063576158940391,0
416,20.57,63.78,1016.76,74.0,0.39298013245033125,0
417,24.32,65.48,1017.55,59.02,0.30529801324503314,0
418,21.41,50.32,1008.61,84.47,0.3095364238410596,0
419,27.09,59.15,1013.02,55.18,0.24688741721854246,0
420,23.49,47.45,1008.46,66.18,0.3504635761589405,0
421,20.0,63.31,1017.06,63.1,0.38966887417218565,0
422,13.4,41.58,1020.5,71.17,0.5467549668874172,0
423,23.6,60.08,1017.51,63.02,0.41999999999999993,0
424,21.03,70.02,1010.21,95.69,0.32145695364238414,0
425,5.15,45.87,1008.02,98.36,0.7860927152317885,0
426,17.16,58.86,1016.4,86.39,0.443708609271523,0
427,24.59,71.94,1006.89,88.52,0.13271523178807865,0
428,23.05,65.94,1010.99,69.73,0.2931125827814567,0
429,10.48,37.5,1009.81,95.26,0.7193377483443708,0
430,15.72,43.02,1011.98,45.74,0.6101986754966884,0
431,25.56,70.32,1009.07,90.63,0.17827814569536482,0
432,13.78,41.16,1021.65,75.77,0.532185430463576,0
433,29.35,69.04,1008.55,61.78,0.3282119205298013,0
434,32.09,79.74,1006.92,61.5,0.1667549668874173,0
435,25.16,77.3,1000.73,86.4,0.5701570389830228,1
436,14.63,40.0,1018.03,63.4,0.48781456953642355,0
437,5.7,40.35,1012.18,91.57,0.9078145695364244,0
438,28.15,74.9,1003.67,76.32,0.177086092715232,0
439,22.3,57.19,1006.4,75.28,0.3290066225165562,0
440,27.71,72.99,1007.18,72.68,0.1688741721854301,0
441,23.09,45.01,1012.25,43.95,0.4396026490066225,0
442,19.66,42.18,1001.51,95.75,0.45298013245033086,0
443,10.02,52.75,1021.93,73.68,0.6997350993377482,0
444,23.97,68.67,1006.63,76.83,0.28172185430463514,0
445,7.82,38.91,1015.58,90.11,0.7799999999999994,0
446,30.21,69.4,1003.69,62.89,0.23735099337748355,0
447,24.12,62.44,1013.83,88.02,0.3051655629139072,0
448,21.05,63.09,1016.49,91.23,0.3601324503311254,0
449,13.93,40.24,1017.88,88.35,0.6488741721854305,0
450,9.68,41.06,1022.75,87.44,0.7471523178807953,0
451,17.48,49.39,1021.51,84.53,0.5264900662251657,0
452,28.76,66.56,1006.07,62.41,0.15947019867549717,0
453,19.21,53.16,1013.18,81.64,0.8927186174822351,1
454,25.63,72.99,1008.2,86.8,0.21695364238410608,0
455,20.36,66.05,1015.86,87.19,0.3969536423841058,0
456,15.34,40.73,1018.03,86.19,0.5071523178807951,0
457,9.55,40.72,1023.12,68.06,0.8055629139072842,0
458,13.45,41.16,1022.04,82.96,0.5339072847682118,0
459,10.8,39.58,1011.99,87.54,0.7679470198675498,0
460,28.15,72.99,1007.62,70.03,0.15324503311258297,0
461,15.42,40.56,1021.23,59.37,0.6499337748344365,0
462,33.6,74.33,1012.31,35.66,0.11072847682119225,0
463,30.92,78.05,1011.0,59.62,0.18357615894039725,0
464,25.24,57.17,1010.44,74.0,0.2981456953642381,0
465,13.6,41.2,1015.92,85.05,0.6246357615894045,0
